"","x"
"1",""
"2",""
"3",""
"4","KWIC"
"5","די גרופע פון"
"6","די ''היימישע אקטיארן''"
"7","א פרישע דורכברויך"
"8","א רעאלע צאל"
"9","די פֿירמע איז"
"10","די ערשטע אינטערנעט"
"11","די גרעסטע דערפינדער"
"12","דאס צענטע יאר"
"13","די פראנקישע אימפעריע"
"14","די שוועדישע שיף"
"15","דער מאנארכיע אין"
"16","דער סעוורע אפמאך"
"17","די אטאמאנישע אימפעריע"
"18","די העכסטע טעמפעראטור"
"19","דעם מאהאווע מדבר"
"20","די טערקישע ארמיי"
"21","די געביידע פונעם"
"22","די אליאירטע אין"
"23","דער פונקציע ("
"24","די פאראייניגטע שטאטן"
"25","די ענדע פון"
"26","די ערשטע וועלט"
"27","די דאטע דעם"
"28","די איסלאמישע רעוואלוציע"
"29","די איסלאמישע רעפובליק"
"30","די העלוועטישע רעפובליק"
"31","די פאראייניגטע שטאטן"
"32","די פאראייניגטע שטאטן"
"33","דער שפאנישע הערשאפט"
"34","די ערשטע ראקעט"
"35","דער לופטוואפע </s><s> דעם"
"36","די פאראייניקטע שטאטן"
"37","די נייע רעגירונג"
"38","די רויטע ארמיי"
"39","די ערשטע ("
"40","דער בריטאניע;"
"41","די לעצטע איינוואוינער"
"42","די צווייטע און"
"43","א געווענליכע יאהר"
"44","די רוימישע אימפעריע"
"45","די ערשטע,"
"46","די שפאנישע אינקוויזיציע"
"47","די שפאנישע יידן"
"48","די יידישע איינוואוינער"
"49","די נייע וועלט"
"50","די נייע וועלט"
"51","די געמיינזאמע קראפטן"
"52","די פאראייניקטע שטאטן"
"53","די לעצטע פאסאזשירן"
"54","די סטאנציע ווערט"
"55","א רעוואלוציע </s><s> דעם"
"56","די פאראייניגטע שטאטן"
"57","די באלטישע לענדער"
"58","דעם ווארשע פאקט"
"59","די פאראייניגטע פעלקער"
"60","די אפיציעלע וואלוטע"
"61","א געווענליכע יאהר"
"62","דאס ערשטע יאר"
"63","דאס צווייטע יאר"
"64","דאס דריטע יאר"
"65","דאס פֿערטע יאר"
"66","דאס פֿינפֿטע יאר"
"67","דאס זעקסטע יאר"
"68","דאס זיבעטע יאר"
"69","דאס אכטע יאר"
"70","דאס נײַנטע יאר"
"71","דאס צענטע יאר"
"72","די טערקישע אימפעריע"
"73","די ערשטע ("
"74","די טערקישע ארמיי"
"75","די פויליש-ליטווישע קאמאנוועלט"
"76","די דאטע געווען"
"77","דאס ערשטע קינד"
"78","די אליאירטע </s><s> דעם"
"79","די בבלישע באלעגערונג"
"80","די אינטערנאציאנאלע געמיינדע"
"81","דער דעפארטאציע פון"
"82","די יאפאנישע אימפעריע"
"83","די פאראייניקטע פראווינצן"
"84","די ערשטע איין"
"85","די שוועדישע שיף"
"86","די ערשטע בריטישע"
"87","די סיסטעם פון"
"88","די רוסישע מיליטער"
"89","דער קאלאניע ווערט"
"90","די גרויסע שריפה"
"91","דער פונקציע ("
"92","אן ארטילעריע־"
"93","די צווייטע און"
"94","די שפאנישע אינקוויזיציע"
"95","די פאראייניגטע פעלקער"
"96","די באשולדיקטע אינעם"
"97","דאס ערשטע מאל"
"98","די פאראייניגטע שטאטן"
"99","די פאראייניקטע שטאטן"
"100","די ערשטע שול"
"101","די רוסיש-טערקישע מלחמה"
"102","די בריטישע קאלאניע"
"103","די ערשטע אמעריקאנער"
"104","די פאראייניגטע שטאטן"
"105","דער פאראייניגטע שטאטן"
"106","די פאראייניגטע שטאטן"
"107","די פאראייניגטע שטאטן"
"108","די פאראייניגטע שטאטן"
"109","די פאראייניגטע שטאטן"
