"","x"
"1","—"
"2","''שפולערקע''"
"3",""""
"4","„"
"5","״"
"6","$"
"7","א"
"8","אבות"
"9","אבזערוואציעס"
"10","אביעקטן"
"11","אבליגאציע"
"12","אבער"
"13","אברים"
"14","אגודת"
"15","אגענדע"
"16","אגענטור"
"17","אגענטורן"
"18","אַגענטן"
"19","אדאלף"
"20","אדוואקאטן"
"21","אדורך"
"22","אדמו"
"23","אדער"
"24","אדערן"
"25","אהבה"
"26","אהבת"
"27","אהרונישע"
"28","אוהל"
"29","אַװאַנגאַרדישע"
"30","אוואנטורעס"
"31","אַװיזיע"
"32","אוטאריטעטן"
"33","אויב"
"34","אויג"
"35","אויגן"
"36","אויטאבוס"
"37","אויטאבוסן"
"38","אויטאמאביל"
"39","אויטאָנאָמע"
"40","אויטאס"
"41","אויטאריטעט"
"42","אויטאריטעטן"
"43","אויטאָריטעטן"
"44","אויך"
"45","אויל"
"46","אוילן"
"47","אויסברייטערונג"
"48","אויסברעך"
"49","אויסגאבעס"
"50","אויסגליטשונג"
"51","אויסגעהאלטנקייט"
"52","אויסגעטרעטנע"
"53","אויסגעצויגענע"
"54","אויסגעקליבענע"
"55","אויסגעשטעלט"
"56","אויסוואל"
"57","אויסערן"
"58","אויספארשונג"
"59","אויספארשער"
"60","אויספלאנעווען"
"61","אויסצופאלגן"
"62","אויף"
"63","אויפ''ן"
"64","אויפגענומען"
"65","אויפגעקומענע"
"66","אויפטוען"
"67","אויפטשטאט"
"68","אויפן"
"69","אויפקלערונג"
"70","אויפשטאנד"
"71","אויפשטענדלער"
"72","אום"
"73","אומאפהענגיק"
"74","אומבאערדיגט"
"75","אומגלייכהייט"
"76","אומגליקן"
"77","אומוויסענד"
"78","אומוויסענדע"
"79","אומזינסטיגע"
"80","אומרעכטן"
"81","און"
"82","אונטן"
"83","אונטער"
"84","אונטערגרונט"
"85","אונטערן"
"86","אונטערנעמונג"
"87","אונטערנעמונגען"
"88","אונטערנעמען"
"89","אונטערעדישע"
"90","אונטערצואווארפן"
"91","אוניווערס"
"92","אוניווערסיטעט"
"93","אוניווערסיטעטן"
"94","אופן"
"95","אוצר"
"96","אוצרות"
"97","אור"
"98","אורזאך"
"99","אורטייל"
"100","אורלויב"
"101","אותיות"
"102","אז"
"103","אַז"
"104","אזא"
"105","אזערעס"
"106","אחדות"
"107","אחרונים"
"108","אטאמאנען"
"109","אטאנאמיע"
"110","אטאקעס"
"111","אטמאספערעס"
"112","איבונגען"
"113","איבער"
"114","איבערגעבונג"
"115","איבערגעבלינע"
"116","איבערזיכטן"
"117","איבערזעצונג"
"118","איבערזעצער"
"119","איבערלעבענישן"
"120","איבערראשונג"
"121","איבערראשט"
"122","איגענט"
"123","אידיאלן"
"124","אידישן"
"125","אידן"
"126","אידנטוהם"
"127","אידנטום"
"128","אידעאלן"
"129","אידענטיטעט"
"130","אידענטיקל"
"131","אידעע"
"132","איז"
"133","איטאליענער"
"134","איי"
"135","אייבערפלאך"
"136","אייגנשאפט"
"137","אייגנשאפטן"
"138","אייגענארטיגער"
"139","אייגענארטיקער"
"140","אייגענטומערשאפט"
"141","אייגענטימערשאפט"
"142","אייזבארג"
"143","אייזבערג"
"144","אייזן"
"145","אייזערנעס"
"146","אייל"
"147","איין"
"148","איינגעטיילט"
"149","איינגעפירט"
"150","איינגעקריצטע"
"151","איינהייט"
"152","איינוואוינער"
"153","איינוואוינערס"
"154","איינוואונער"
"155","איינוואנדערונג"
"156","איינוווינער"
"157","איינטיילונג"
"158","איינטריט"
"159","אייניקלעך"
"160","אייניקלעך''ס"
"161","אייננעמונג"
"162","איינס"
"163","איינסן"
"164","איינפירונגן"
"165","איינצונעמען"
"166","איינשטעל"
"167","אייראָפּעאישע"
"168","אים"
"169","אימון"
"170","אימיגראנט"
"171","אימיגראנטן"
"172","אימפאקט"
"173","אימפעט"
"174","אימפעריעס"
"175","אין"
"176","אינגאנצן"
"177","אינגע"
"178","אינדוסטרי"
"179","אינדוסטריעס"
"180","אינדזל"
"181","אינדערמיט"
"182","אינהאלט"
"183","אינוואזירערס"
"184","אינזלן"
"185","אינזלען"
"186","אינטיפאדא"
"187","אינטעגרירטן"
"188","אינטערנעט"
"189","אינטערסטעיט"
"190","אינטערעסט"
"191","אינסטיטוט"
"192","אינערן"
"193","אינפֿיצירט"
"194","אינשורענס"
"195","איסור"
"196","איר"
"197","אישו"
"198","אלארם"
"199","אלבאם"
"200","אלוועלט"
"201","אלוועלטיכע"
"202","אלוקים"
"203","אליה"
"204","אליין"
"205","אליינס"
"206","אלימפיאדע"
"207","אלמנה"
"208","אלס"
"209","אלף"
"210","אלץ"
"211","אמבאסאדאר"
"212","אמורא"
"213","אמוראים"
"214","אמטירנדע"
"215","אמענדירונג"
"216","אמענדמענט"
"217","אמעריקאנער"
"218","אמריקאנע"
"219","אנגעלייגטע"
"220","אנדייטונג"
"221","אנדערש"
"222","אנווארעמען"
"223","אנוועזנהייט"
"224","אנוסים"
"225","אנטארקטיק"
"226","אנטהאלט"
"227","אנטוויקלונג"
"228","אַנטוויקלונגען"
"229","אנטויקלונגען"
"230","אנטילן"
"231","אנטיסעמיטיזם"
"232","אנטלויפט"
"233","אַנטענעס"
"234","אני"
"235","אנעמונג"
"236","אנפאנג"
"237","אנצוג"
"238","אנקלאגעס"
"239","אנשטאט"
"240","אָנשטעקונג"
"241","אסטערלי"
"242","אסטראנאטן"
"243","אסטראנאמען"
"244","אסירים"
"245","אָפּגעזעצטע"
"246","אפגעשפיגלט"
"247","אפטייטש"
"248","אפטייל"
"249","אָפּטייל"
"250","אפטיילונג"
"251","אפילו"
"252","אפיציר"
"253","אפיקורסות"
"254","אפמאך"
"255","אפעטיט"
"256","אפענסיווע"
"257","אפעראציעס"
"258","אָפּערירן"
"259","אפערציע"
"260","אפצאל"
"261","אפשטאם"
"262","אקאדעמיע"
"263","אַקאַדעמישע"
"264","אקאונטינג"
"265","אקוראט"
"266","אקט"
"267","אקטיאר"
"268","אקטיארן"
"269","אקטיארן''"
"270","אקטיוו"
"271","אקטיוויטעט"
"272","אקטיוויטעטן"
"273","אקטן"
"274","אַקטריסע"
"275","אקעאנען"
"276","אקציעס"
"277","אקצענט"
"278","אראביש"
"279","אַראַבישע"
"280","אראבער"
"281","אראפשטויס"
"282","ארבייטער"
"283","ארבעט"
"284","אַרבעט"
"285","ארבעטסלאזיקייט"
"286","ארגאן"
"287","ארגאניזמען"
"288","ארגאניזציע"
"289","ארגאניש"
"290","אָרגאַנען"
"291","ארויס"
"292","ארויסגעוויזן"
"293","ארויסזאגן"
"294","אַרויף"
"295","ארויפצווינגען"
"296","ארום"
"297","אַרומיגע"
"298","ארט"
"299","ארטיקל"
"300","אריבער"
"301","אריבערצושפרייזן"
"302","אריין"
"303","אריינגעפאלן"
"304","אריענטירטער"
"305","ארכיטעקט"
"306","ארכיפעלאג"
"307","ארמייען"
"308","ארעסטאנטן"
"309","ארקטישע"
"310","ארקעסטער"
"311","אשכנזים"
"312","אשרה"
"313","באבאווער"
"314","באגריף"
"315","באגריפן"
"316","באַדייט"
"317","באַדייטונג"
"318","באַדינגען"
"319","באדינונגען"
"320","באדינט"
"321","באדעקט"
"322","באהערשער"
"323","באַוואוסטע"
"324","באווייזונגן"
"325","באוועגונג"
"326","באורד"
"327","באזוכונגען"
"328","באזוכטע"
"329","באזוכסטער"
"330","באזעצונג"
"331","באטייליקונג"
"332","באטערי"
"333","באָילערמאַקער"
"334","באל"
"335","באלאנס"
"336","באלד"
"337","באליידיגונגען"
"338","באליידינגונגען"
