,id,token,pos,check,paradigm_he,paradigm_lat,kwic,art,adj,noun,latin,chk_ann
1,6,''היימישע,ADJ,1,ע,-e,די ''היימישע אקטיארן'',di,''heimische,{a-o}kti{a-o}rn'',di ''heimische {a-o}kti{a-o}rn'',1
11985,8592,''שפולערקע'',NOUN,1,קע,-e,דער טורמע ''שפולערקע'',der,t{u-o}rme,''sch{p-f}{u-o}lerke'',der t{u-o}rme ''sch{p-f}{u-o}lerke'',1
2549,5142,אבזערוואציע,ADJ,1,ע,-e,די אבזערוואציע פון,di,{a-o}{b-v}serw{a-o}zie,von,di {a-o}{b-v}serw{a-o}zie von,NA
5738,1023,אביעקטן,NOUN,1,טן,-en,די רעאלע אביעקטן,di,re{a-o}le,{a-o}{b-v}iektn,di re{a-o}le {a-o}{b-v}iektn,1
10407,6653,אבליגאציע,NOUN,1,ע,-e,א מאראלע אבליגאציע,a,m{a-o}r{a-o}le,{a-o}{b-v}lig{a-o}zie,a m{a-o}r{a-o}le {a-o}{b-v}lig{a-o}zie,1
4209,8633,אבנארמאלע,ADJ,1,לע,-le,א אבנארמאלע זאך,a,{a-o}{b-v}n{a-o}rm{a-o}le,s{a-o}ch,a {a-o}{b-v}n{a-o}rm{a-o}le s{a-o}ch,1
4820,9883,אבסטראקטע,ADJ,1,טע,-e,אן אבסטראקטע זאך,an,{a-o}{b-v}sstr{a-o}kte,s{a-o}ch,an {a-o}{b-v}sstr{a-o}kte s{a-o}ch,1
474,1027,אבסטראקציע,ADJ,1,ע,-e,אן אבסטראקציע וואס,an,{a-o}{b-v}sstr{a-o}kzie,w{a-o}ss,an {a-o}{b-v}sstr{a-o}kzie w{a-o}ss,1
1771,3598,אבסעסיע,ADJ,1,ע,-e,די אבסעסיע און,di,{a-o}{b-v}ssessie,a{u-o}n,di {a-o}{b-v}ssessie a{u-o}n,NA
481,1038,אבסערוואטאריע,ADJ,1,ע,-e,אן אבסערוואטאריע זיין,an,{a-o}{b-v}sserw{a-o}t{a-o}rie,sein,an {a-o}{b-v}sserw{a-o}t{a-o}rie sein,NA
480,1036,אבסערוואַטאריע,ADJ,1,ע,-e,אן אבסערוואַטאריע איז,an,{a-o}{b-v}sserw{a-o}ַt{a-o}rie,is,an {a-o}{b-v}sserw{a-o}ַt{a-o}rie is,NA
2032,4070,אבעלישע,ADJ,1,ע,-e,אן אבעלישע גרופע,an,{a-o}{b-v}elische,gr{u-o}{p-f}e,an {a-o}{b-v}elische gr{u-o}{p-f}e,1
572,1210,אגאישע,ADJ,1,ע,-e,די אגאישע אינזלען,di,{a-o}gische,inslen,di {a-o}gische inslen,1
9910,6059,אגענדע,NOUN,1,דע,-e,די זעלבע אגענדע,di,sel{b-v}e,{a-o}gende,di sel{b-v}e {a-o}gende,1
8257,4089,אגענטורן,NOUN,1,רן,-en,די נאציאנאלע אגענטורן,di,n{a-o}zi{a-o}n{a-o}le,{a-o}gent{u-o}rn,di n{a-o}zi{a-o}n{a-o}le {a-o}gent{u-o}rn,1
6394,1769,אַגענטן,NOUN,1,טן,-en,די פֿאַרבאָרגנע אַגענטן,di,{p-f}ֿaַr{b-v}{a-o}ָrgne,aַgentn,di {p-f}ֿaַr{b-v}{a-o}ָrgne aַgentn,1
2761,5582,אגריקולטורע,ADJ,1,רע,-e,די אגריקולטורע מושבים,di,{a-o}grik{u-o}lt{u-o}re,m{u-o}sch{b-v}im,di {a-o}grik{u-o}lt{u-o}re m{u-o}sch{b-v}im,1
262,610,אדאבע,ADJ,1,בע,-e,די אדאבע רידער,di,{a-o}d{a-o}{b-v}e,rider,di {a-o}d{a-o}{b-v}e rider,1
9157,5139,אדוואקאטן,NOUN,1,טן,-en,די אנדערע אדוואקאטן,di,{a-o}ndere,{a-o}dw{a-o}k{a-o}tn,di {a-o}ndere {a-o}dw{a-o}k{a-o}tn,1
597,1257,אדיסעע,ADJ,1,ע,-e,די אדיסעע איז,di,{a-o}dissee,is,di {a-o}dissee is,NA
1621,3268,אדיסעע.,ADJ,1,ע,-e,די אדיסעע.,di,{a-o}dissee.,NA,di {a-o}dissee.,NA
601,1266,אדיקציע,ADJ,1,ע,-e,די אדיקציע ווײַזט,di,{a-o}dikzie,wײַst,di {a-o}dikzie wײַst,1
1631,3293,אדמיניסטראטיווע,ADJ,1,ע,-e,די אדמיניסטראטיווע הויפטקווארטיר,di,{a-o}dminisstr{a-o}tiwe,h{u-o}i{p-f}tkw{a-o}rtir,di {a-o}dminisstr{a-o}tiwe h{u-o}i{p-f}tkw{a-o}rtir,1
4791,9831,אדמיניסריטאטיווע,ADJ,1,ע,-e,די אדמיניסריטאטיווע גרענעצן,di,{a-o}dminissrit{a-o}tiwe,grenezn,di {a-o}dminissrit{a-o}tiwe grenezn,1
5521,771,אדעליגע,NOUN,1,גע,-e,די גרויסע אדעליגע,di,gr{u-o}isse,{a-o}delige,di gr{u-o}isse {a-o}delige,1
11086,7480,אדערן,NOUN,1,רן,-en,די גרויסע אדערן,di,gr{u-o}isse,{a-o}dern,di gr{u-o}isse {a-o}dern,1
3662,7460,אדרעסע,ADJ,1,סע,-e,די אדרעסע פון,di,{a-o}dresse,von,di {a-o}dresse von,NA
6277,1642,אהרונישע,NOUN,1,ע,-e,די ארטיגע אהרונישע,di,{a-o}rtige,{a-o}hr{u-o}nische,di {a-o}rtige {a-o}hr{u-o}nische,NA
711,1490,אוגערקע,ADJ,1,קע,-e,די אוגערקע (,di,a{u-o}gerke,(,di a{u-o}gerke (,NA
948,1888,אוואולאציע,ADJ,1,ע,-e,דער אוואולאציע וואס,der,{a-o}w{a-o}{u-o}l{a-o}zie,w{a-o}ss,der {a-o}w{a-o}{u-o}l{a-o}zie w{a-o}ss,1
747,1547,אוואולאציע־,ADJ,1,ע,-e,דעם אוואולאציע־,dem,{a-o}w{a-o}{u-o}l{a-o}zie־,NA,dem {a-o}w{a-o}{u-o}l{a-o}zie־,1
