"","a.noun","q.noun","a.cat","gold","q.cat","m.cat","freq","score","max.obs","max.score"
"1","aa2word","e1word","a2",NA,NA,NA,0.142857142857143,0.010989010989011,FALSE,FALSE
"2","uuuu4word","ee2word","u4",NA,NA,NA,0.142857142857143,0.00892857142857143,FALSE,FALSE
"3","eeee4word","eee3word","e4",NA,NA,NA,0.166666666666667,0.00980392156862745,FALSE,FALSE
"4","u1word","eeee4word","u1",NA,NA,NA,0.142857142857143,0.00952380952380952,FALSE,FALSE
"5","aaa3word","eeeee5word","a3",NA,NA,NA,0.142857142857143,0.00793650793650794,FALSE,FALSE
"6","ee2word","a1word","e2",NA,NA,NA,0.142857142857143,0.010989010989011,FALSE,FALSE
"7","eee3word","aa2word","e3",NA,NA,NA,0.142857142857143,0.00952380952380952,FALSE,FALSE
"8","aa2word","aaa3word","a2",NA,NA,NA,0.166666666666667,0.0111111111111111,FALSE,FALSE
"9","uuuu4word","aaaa4word","u4",NA,NA,"u4",0.166666666666667,0.00925925925925926,TRUE,FALSE
"10","eeee4word","aaaaa5word","e4",NA,NA,NA,0.142857142857143,0.0075187969924812,FALSE,FALSE
"11","u1word","u1word","u1",NA,"u1","u1",0.2,0.0166666666666667,TRUE,TRUE
"12","aaa3word","uu2word","a3",NA,NA,NA,0.142857142857143,0.00952380952380952,FALSE,FALSE
"13","ee2word","uuu3word","e2",NA,NA,NA,0.142857142857143,0.00952380952380952,FALSE,FALSE
"14","eee3word","uuuu4word","e3",NA,NA,NA,0.142857142857143,0.00840336134453781,FALSE,FALSE
"15","aa2word","uuuuu5word","a2",NA,NA,NA,0.142857142857143,0.00840336134453781,FALSE,FALSE
"16","uuuu4word","e1word","u4",NA,NA,NA,0.142857142857143,0.00952380952380952,FALSE,FALSE
"17","eeee4word","ee2word","e4",NA,NA,NA,0.166666666666667,0.0104166666666667,FALSE,FALSE
"18","u1word","eee3word","u1",NA,NA,NA,0.142857142857143,0.0102040816326531,FALSE,FALSE
"19","aaa3word","eeee4word","a3",NA,NA,NA,0.142857142857143,0.00840336134453781,FALSE,FALSE
"20","ee2word","eeeee5word","e2",NA,"e2","e2",0.166666666666667,0.00980392156862745,TRUE,TRUE
"21","eee3word","a1word","e3",NA,NA,NA,0.142857142857143,0.0102040816326531,FALSE,FALSE
"22","aa2word","aa2word","a2",NA,"a2","a2",0.2,0.0142857142857143,TRUE,TRUE
"23","uuuu4word","aaa3word","u4",NA,NA,NA,0.142857142857143,0.00840336134453781,FALSE,FALSE
"24","eeee4word","aaaa4word","e4",NA,NA,NA,0.166666666666667,0.00925925925925926,FALSE,FALSE
"25","u1word","aaaaa5word","u1",NA,NA,NA,0.142857142857143,0.00892857142857143,FALSE,FALSE
"26","aaa3word","u1word","a3",NA,NA,NA,0.142857142857143,0.0102040816326531,FALSE,FALSE
"27","ee2word","uu2word","e2",NA,NA,"e2",0.166666666666667,0.0119047619047619,TRUE,FALSE
"28","eee3word","uuu3word","e3",NA,NA,"e3",0.166666666666667,0.0104166666666667,TRUE,FALSE
"29","aa2word","uuuu4word","a2",NA,NA,NA,0.142857142857143,0.00892857142857143,FALSE,FALSE
"30","uuuu4word","uuuuu5word","u4",NA,NA,"u4",0.166666666666667,0.0087719298245614,TRUE,FALSE
