<doc id="127.1.1">													
<text id="127.1.1">													
<s id="1">													
Ja	1	1	Ja, ist es.	1	Ja	PROPN	PTKANT		4	nsubj		SpaceAfter=No	pid:1.127.1.1.
,	1	1	Ja, ist es.	2	,	PUNCT	$,		1	punct			pid:1.127.1.1.
ist	1	1	Ja, ist es.	3	sein	AUX	VVFIN	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	4	cop			pid:1.127.1.1.
es	1	1	Ja, ist es.	4	es	PRON	PPER	Case=Nom|Gender=Neut|Number=Sing|Person=3|PronType=Prs	5	nsubj		SpaceAfter=No	pid:1.127.1.1.
.	1	1	Ja, ist es.	5	.	PUNCT	$.		0	root			pid:1.127.1.1.
</s>													
<s id="2">													
Das	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	1	der	PRON	PDS	Case=Nom|Gender=Neut|Number=Sing|PronType=Dem	2	nsubj			pid:2.127.1.1.
ändert	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	2	ändern	VERB	VVFIN	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	0	root			pid:2.127.1.1.
aber	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	3	aber	ADV	ADV		2	advmod			pid:2.127.1.1.
nichts	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	4	nichts	PRON	CARD	NumType=Card	2	obj			pid:2.127.1.1.
daran	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	5	daran	PRON	PAV		2	dep		SpaceAfter=No	pid:2.127.1.1.
,	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	6	,	PUNCT	$,		11	punct			pid:2.127.1.1.
dass	1	2	Das ändert aber nichts daran, dass solche Szenen regelmäßig vorkommen und scheinbar keine Konsequenzen folgen, weil es immer wieder passiert.	7	dass	SCONJ	KOUS		11	mark			pid:2.127.1.1.
