token,V1,V2,V3
flowers,The body ,Valued plants and weeds  ,Food 
woods,NA,NA,NA
herbs,NA,NA,NA
bath,Relative position ,Healing/cure ,Healing/cure 
tea,Particular plants ,Drink ,Drink 
blossoms,NA,NA,NA
garlic,Particular plants ,Food ,The Arts 
lemon,Particular plants ,Food ,Be food for 
mouth,Land ,Deity ,Speech 
pot.pourri,Smell/odour ,The Arts ,Relationship 
soap,Cleanness/dirtiness ,Wash ,Cleanness/dirtiness 
summer,Period ,Pertaining to a period ,Relative position 
trees,NA,NA,NA
wine,Drink ,Healing/cure ,Healing/cure 
Belmont,NA,NA,NA
Christmas,Pertaining to worship ,Social ,Worship 
Crocus,Particular plants ,Constitution of matter ,Materials 
Daphne,Particular plants ,Particular plants ,Particular plants 
Health,Health and disease  health (1509–),Drink ,Safety  health (c1250–c1611)
Jane,Money ,Person ,Love 
Janis,NA,NA,NA
Kowloon,NA,NA,NA
Land,Navigate/sail (a stretch of water) ,Travel by water in/on a vessel ,Land  land (1490–)
Lily,Indication ,Pertaining to colour ,The Arts 
Margaret,Particular plants ,Particular plants ,Particular plants 
Mary,Worship ,Ethnicities ,Person 
Mask,Knowledge ,Knowledge ,"Know, be aware of "
Muscat,Particular plants ,Food ,Particular plants 
Narcissi,NA,NA,NA
New,New ,Frequently ,Recently  new- (a1340–)
Newbury,NA,NA,NA
Pike,Military equipment ,Military equipment ,Land 
Provence,NA,NA,NA
ROOM,Space ,Inhabited place ,Move in a certain direction 
Roseraie,NA,NA,NA
Solanum,Healing/cure ,Healing/cure ,Particular plants 
air,Gas ,Gas ,Gas  
alcoholic,Alcohols  alcoholic (1789–),Pertaining to drink ,Pertaining to ill-health/disease 
blossom,),Creation  ,Indication 
braes,NA,NA,NA
cachous,NA,NA,NA
character,Indication ,Writing ,Existence 
cities,NA,NA,NA
coconut,Particular plants ,Food ,Food 
colour,Colour ,The body ,Sight/vision 
colours,The Arts ,Indication ,Military organization 
cooking,Food ,Food ,Food 
coolness,Behaviour ,Absence of emotion ,Calmness 
crop,Extend ,Farming ,Feed on 
day,Particular time ,Day and night ,Light 
dew,Liquid ,Liquid ,Give/fall as dew  dew (1382–1726)
doubt,Belief ,Believe ,Belief 
driftwood,Cleanness/dirtiness ,,[
essence,Existence ,Existence ,Existence 
extracts,NA,NA,NA
foliage,The Arts ,Part of plant ,The Arts 
gold,Pertaining to the Arts ,Pertaining to material worked with/upon ,Money 
gulps,NA,NA,NA
hair,Extension in space ,Quantity ,Textiles 
hangers,NA,NA,NA
hedge,Safety ,Cause to have specific position/arrangement ,Defend 
hide,Materials ,"Know, be aware of ",Cause to have specific position/arrangement 
hill,Land ,Relative position ,Cause to have specific position/arrangement 
hills,NA,NA,NA
holes,NA,NA,NA
house,Artefacts ,The universe ,The universe 
idea,Philosophy ,Memory ,Perception/cognition 
just.in.out.of.the.cold,NA,NA,NA
kind,Loving ,Pertaining to behaviour ,Ethnicities 
kitchen,Food ,Be food for ,The body 
