"","Corpus","Token_ID","Year","Period","Adjective","Noun","Category","category.modified","KWIC","cat.ai"
"1","COHA-S",258118698,1851,"PER_A","stinking","rose","P&F","","d under the rose , ( a [[stinking rose]] , ) among six accessories","P&F"
"2","COHA-S",59173181,1880,"PER_A","malodorous","tradition","","AC","and then became lost in [[malodorous tradition]] which hung about an old mu","AC"
"3","COHA-S",278351561,1891,"PER_B","stinking","river","MA","","> @ to be had until [[Stinking Water River]] * is reached . But all things","MA"
"4","COHA-S",431948742,1900,"PER_B","malodorous","lane","EA","","r and less windy , but [[malodorous lanes]] where the busy life of the/","B&UE"
"5","COHA-S",94283368,1906,"PER_B","malodorous","work","","AC","n-pits . Hard , dirty , [[malodorous work]] it was , but he kept at it/","AC"
"6","COHA-S",102260429,1911,"PER_B","smelly","scenery","","EA",", and she says it was the [[smelliest scenery]] she 'd ever got real close/","EA"
"7","COHA-S",106560071,1914,"PER_B","smelly","buzzard","","AN","omfort , I got nothing but a [[smelly buzzard]] ? Ugh ! '' Dick 's hunting i","AN"
"8","COHA-S",110915018,1917,"PER_B","foul-smelling","floor","","B&UE","red on equally dirty and [[foul-smelling sawdust-strewn floors]] ; visiting dance halls , secr","B&UE"
"9","COHA-S",115256211,1920,"PER_B","stinking","suit","CL","T&C","blows in and jams a dirty [[stinking old suit]] in his face and says , ' H","T&C"
"10","COHA-S",119321423,1921,"PER_B","smelly","office","","B&UE","sary to stick to hot , [[smelly offices]] when a @","B&UE"
"11","COHA-S",125070017,1922,"PER_B","smelly","prison","","B&UE","f than we are here in this [[smelly prison]] . What do you say ? Will","B&UE"
"12","COHA-S",298145043,1926,"PER_B","smelly","crab","","AN","ht in a dead and rather [[smelly crab]] , which she had apparently","AN"
"13","COHA-S",129341736,1930,"PER_C","smelly","house","","B&UE","rhood and the noisy , [[smelly apartment house]] in which they had six small","B&UE"
"14","COHA-S",132472903,1932,"PER_C","stinking","thing","","","bout men than -- But the [[stinking thing]] is you have n't even got","AC"
"15","COHA-S",303188053,1933,"PER_C","smelly","money","","","auerkraut ? good , old , [[smelly sauerkraut money]] ? all left out of the origi","AC"
"16","COHA-S",136121837,1934,"PER_C","stinking","moneybag","","","rary patron . You take some [[stinking moneybags]] and give him the idea that","MA"
"17","COHA-S",374228841,1936,"PER_C","foul-smelling","herring","","AN","tion , terming it a '' [[foul-smelling red herring]] . '' Mr. Tremaine challenged","AN"
"18","COHA-S",137755505,1936,"PER_C","smelly","smartweed","","P&F","e rinses his hands in the [[smelly smartweeds]] . He fills out the questionnaire",NA
"19","COHA-S",140245755,1937,"PER_C","stinking","jail","","","delivered abortively in a [[stinking n****r jail]] in New Orleans . '' '' And","B&UE"
"20","COHA-S",306725294,1938,"PER_C","smelly","no","","B&UE","the opening in smoky , [[smelly room No.]] 506 at WPA headquarters we",NA
"21","COHA-S",142325124,1939,"PER_C","foul-smelling","wound","BO","","their hides festering with [[foul-smelling wounds]] . They groaned and spit ,","BO"
"22","COHA-S",144445269,1941,"PER_C","stinking","hole","","EA"," I 'm fed up with this [[stinking hole]] , '' Sheik said . '' I 'm get","EA"
"23","COHA-S",146111541,1942,"PER_C","stinking","way","","AC"," said Star . '' That 's a [[stinking way]] to do , that 's punko ./","AC"
"24","COHA-S",148219865,1943,"PER_C","stinking","command","","AC","allowed to file from this [[stinking command]] ? '' '' Listen , '' said Basswal","AC"
"25","COHA-S",148496868,1944,"PER_C","smelly","corridor","","B&UE","go up the ramp into a dark [[smelly corridor]] but he scarcely noticed the","B&UE"
"26","COHA-S",311391548,1944,"PER_C","stinking","hoard","","","them understand that his [[stinking hoard]] really smelled just right","AC"
"27","COHA-S",312501062,1945,"PER_C","stinking","chaos","","AC","ing at them , and in the [[stinking chaos]] of battle . But it is still/","AC"
"28","COHA-S",153925212,1947,"PER_C","smelly","scrap","","","do you know who I am , you [[smelly scrap]] ? Does the name Bellamy tnta","B&UE"
"29","COHA-S",153154542,1947,"PER_C","stinking","lunchroom","F&D","B&UE","e movies . Got to sit in a [[stinking lunchroom]] . She put her head down on","B&UE"
"30","COHA-S",154672708,1948,"PER_C","smelly","mule","","AN","-skinner was working three [[smelly mules]] up through the pine-trees","AN"
"31","COHA-S",315306844,1950,"PER_C","smelly","packet","","",". He slowly picked up the [[smelly packet]] . A desperate idea was comin","B&UE"
"32","COHA-S",159167266,1951,"PER_C","stinking","job","","","try to rob them out of a [[stinking twobit job]] . He pulled his mouthpiece","AC"
"33","COHA-S",315782941,1951,"PER_C","stinking","trade","","","ibing literature as a '' [[stinking trade]] '' and declaring : I 'm tired/","AC"
"34","COHA-S",161031779,1952,"PER_C","stinking","crate","","P&F","then ? There remained the [[stinking cabbage crates]] , and the pile of officers","B&UE"
