Farbe,Dokumentgruppe,Dokumentname,Code,Anfang,Ende,Gewicht,Segment,Bearbeitet von,Bearbeitet am,Erstellt von,Erstellt am,Memos,Kommentar,Fläche,Abdeckungsgrad %,Weitere am Segment vergebene Codes
●,,14-wolf-falsche-freunde,expl,5,5,0,"ebeguine, u",guhl,21.01.25 08:12,guhl,21.01.25 08:09:23, ,"4/4 gesellschaftstanz, karibik frankreich 19jh",11,0.07,
●,,14-wolf-falsche-freunde,idiom > AI: idiom_gr (14-wolf-falsche-freunde),5,5,0,"wer 
a sagt, gar nichts, wer b sagt, der Lippen sich gewiss (gebiss erst etwas später) und sein:",guhl,21.01.25 07:52,guhl,21.01.25 07:52:48, ,"AI: Dies ist eine Abwandlung der deutschen Redewendung ""Wer A sagt, muss auch B sagen"". Die kreative Umformulierung behält den idiomatischen Charakter bei.",97,0.58,
●,,14-wolf-falsche-freunde,mixed,5,5,0,"fallingauseinander, der stille, dem rahmen, immer apart,",guhl,21.01.25 08:13,guhl,21.01.25 08:13:36, ,,57,0.34,
●,,14-wolf-falsche-freunde,expl,5,5,0,bald,guhl,21.01.25 08:14,guhl,21.01.25 08:14:31, ,,4,0.02,
●,,14-wolf-falsche-freunde,mixed,5,5,0,weder im guten noch imbad.,guhl,21.01.25 08:15,guhl,21.01.25 08:15:01, ,,26,0.15,
●,,14-wolf-falsche-freunde,mixed,5,5,0,"igel, der hat noch jedenharebesiegt.",guhl,21.01.25 08:15,guhl,21.01.25 08:15:29, ,,36,0.21,phon (Gewicht: 0)
●,,14-wolf-falsche-freunde,phon,5,5,0,hare,guhl,21.01.25 08:19,guhl,21.01.25 08:19:51, ,,4,0.02,mixed (Gewicht: 0)
●,,14-wolf-falsche-freunde,expl,5,5,0,strähne,guhl,21.01.25 08:20,guhl,21.01.25 08:16:37, ,engl. streak: liegt > streak > brief / lange > unverfangen  > wange (cheek),7,0.04,phon (Gewicht: 0)
●,,14-wolf-falsche-freunde,phon,5,5,0,strähne,guhl,21.01.25 08:19,guhl,21.01.25 08:19:29, ,,7,0.04,expl (Gewicht: 0)
●,,14-wolf-falsche-freunde,expl,5,5,0,Wange,guhl,21.01.25 08:20,guhl,21.01.25 08:20:16, ,cheek,5,0.03,phon (Gewicht: 0)
●,,14-wolf-falsche-freunde,phon,5,5,0,Wange,guhl,21.01.25 08:20,guhl,21.01.25 08:20:07, ,,5,0.03,expl (Gewicht: 0)
●,,14-wolf-falsche-freunde,phon,6,6,0,kitchenman,guhl,21.01.25 08:23,guhl,21.01.25 08:23:34, ,koch > loch,10,0.06,expl (Gewicht: 0)
●,,14-wolf-falsche-freunde,expl,6,6,0,kitchenman,guhl,21.01.25 08:23,guhl,21.01.25 08:23:29, ,,10,0.06,phon (Gewicht: 0)
●,,14-wolf-falsche-freunde,phon,6,6,0,loch,guhl,21.01.25 08:24,guhl,21.01.25 08:24:05, ,,4,0.02,
●,,14-wolf-falsche-freunde,expl,6,6,0,gürtelweiten,guhl,21.01.25 08:35,guhl,21.01.25 08:34:15, ,beltwidth(wide) > weltwitz / weltweit,12,0.07,mixed (Gewicht: 0)
●,,14-wolf-falsche-freunde,mixed,6,6,0,gürtelweiten,guhl,21.01.25 08:34,guhl,21.01.25 08:34:23, ,,12,0.07,expl (Gewicht: 0)
●,,14-wolf-falsche-freunde,expl,6,6,0,dickicht,guhl,21.01.25 08:34,guhl,21.01.25 08:33:51, ,"thicket, jungle",8,0.05,
●,,14-wolf-falsche-freunde,expl,6,6,0,trommelwirbel,guhl,21.01.25 08:37,guhl,21.01.25 08:37:47, ,drum roll,13,0.08,
●,,14-wolf-falsche-freunde,idiom > idiom_en > AI: idiom_en (14-wolf-falsche-freunde),7,7,0,to flog adead horse,guhl,21.01.25 07:59,guhl,21.01.25 07:59:47, ,"AI: Dies ist ein englisches Idiom, das bedeutet, eine aussichtslose Sache weiterzuverfolgen. Es ist ein typischer Ausdruck des englischen Sprachgebrauchs.",19,0.11,idiom > AI: idiom_gr (14-wolf-falsche-freunde) (Gewicht: 0)
●,,14-wolf-falsche-freunde,idiom > AI: idiom_gr (14-wolf-falsche-freunde),7,7,0,"to flog adead horse? mein lieber, ich sag dir: vergeblichersport.",guhl,21.01.25 07:52,guhl,21.01.25 07:52:48, ,"AI: Hier wird die englische Redewendung ""to flog a dead horse"" mit dem deutschen Ausdruck ""vergeblicher Sport"" gleichgesetzt, was eine idiomatische Übersetzung darstellt.",65,0.39,idiom_en > AI: idiom_en (14-wolf-falsche-freunde) (Gewicht: 0)
●,,14-wolf-falsche-freunde,idiom > AI: idiom_gr (14-wolf-falsche-freunde),7,7,0,r striemenlos im stal,guhl,21.01.25 08:47,guhl,21.01.25 08:47:28, ,ratlos im stall stehen?,21,0.12,expl (Gewicht: 0)
●,,14-wolf-falsche-freunde,expl,7,7,0,striemenlos,guhl,21.01.25 08:45,guhl,21.01.25 08:44:10, ,strieme: weal > wheelless > radlos > ratlos,11,0.07,idiom > AI: idiom_gr (14-wolf-falsche-freunde) (Gewicht: 0)
●,,14-wolf-falsche-freunde,expl,7,7,0,", im kerbst, in jedem fall",guhl,21.01.25 08:48,guhl,21.01.25 08:48:20, ,herbst > autumn > fall,26,0.15,
●,,14-wolf-falsche-freunde,expl,7,7,0,wendig,guhl,21.01.25 08:52,guhl,21.01.25 08:52:22, ,engl.: astute > stute,6,0.04,
●,,14-wolf-falsche-freunde,expl,7,7,0,fast wie wasser,guhl,21.01.25 08:55,guhl,21.01.25 08:53:39, ,schnell > stream like water < stromschnellen,15,0.09,
●,,14-wolf-falsche-freunde,expl,7,7,0,riegel,guhl,21.01.25 09:02,guhl,21.01.25 09:02:31, ,"bolt, loop, bar",6,0.04,
●,,14-wolf-falsche-freunde,expl,7,7,0,strenge,guhl,21.01.25 09:01,guhl,21.01.25 09:00:55, ,"severe, sharp, tight",7,0.04,
●,,14-wolf-falsche-freunde,expl,7,7,0,ruten,guhl,21.01.25 08:58,guhl,21.01.25 08:58:02, ,"switch, tail",5,0.03,
●,,14-wolf-falsche-freunde,idiom > idiom_en > AI: idiom_en (14-wolf-falsche-freunde),9,9,0,jot this down,guhl,21.01.25 07:59,guhl,21.01.25 07:59:47, ,"AI: Dies ist eine englische Redewendung, die bedeutet, etwas schnell aufzuschreiben. Sie ist ein typischer Ausdruck des alltäglichen englischen Sprachgebrauchs.",13,0.08,
●,,14-wolf-falsche-freunde,idiom > idiom_en > AI: idiom_en (14-wolf-falsche-freunde),9,9,0,Size matters not.,guhl,21.01.25 07:59,guhl,21.01.25 07:59:47, ,"AI: Dies ist eine bekannte englische Redewendung, die oft verwendet wird, um auszudrücken, dass Größe nicht wichtig ist. Sie stammt aus dem Film ""Star Wars"" und wird Yoda zugeschrieben.",17,0.10,idiom > AI: idiom_gr (14-wolf-falsche-freunde) (Gewicht: 0)
●,,14-wolf-falsche-freunde,idiom > AI: idiom_gr (14-wolf-falsche-freunde),9,9,0,Size matters not. Look a: me.,guhl,21.01.25 07:52,guhl,21.01.25 07:52:48, ,"AI: Obwohl dies ein englisches Zitat ist, wird es im Kontext des deutschen Textes als idiomatischer Ausdruck verwendet und passt daher zur Definition von ""idiom"" im weiteren Sinne.",29,0.17,idiom_en > AI: idiom_en (14-wolf-falsche-freunde) (Gewicht: 0)
●,,14-wolf-falsche-freunde,idiom > AI: idiom_gr (14-wolf-falsche-freunde),11,11,0,"auf meinemmistwuchs das nicht, ich bin 
allein der hahn, ders kräht.",guhl,21.01.25 07:52,guhl,21.01.25 07:52:48, ,"AI: Diese Passage enthält zwei deutsche Redewendungen: ""auf jemandes Mist gewachsen sein"" und ""der Hahn im Korb sein"", die hier kreativ kombiniert werden.",68,0.40,
