"corpus","user/st.schwarz/xriddle_23"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"scharfe Zunge",2,1406,1042.75281,0.06695,978.255
"erste Station",2,16935,1042.75281,0.80644,577.794
"Thron als Vorreiterin",1,0,521.37640,0.00000,522.376
"Überlegung einer forschen Frau",1,0,521.37640,0.00000,522.376
"literarischer Säulenheilige",1,0,521.37640,0.00000,522.376
"Soldat einer Kolonialarmee",1,0,521.37640,0.00000,522.376
"gefundene Fähigkeit",1,0,521.37640,0.00000,522.376
"Vorgesetzte in der Ferne",1,0,521.37640,0.00000,522.376
"Pionierin weiblicher Unabhängigkeit",1,0,521.37640,0.00000,522.376
"Chance auf Bildung und Aufstieg",1,0,521.37640,0.00000,522.376
"auffälliger Anstrich",1,0,521.37640,0.00000,522.376
"rein poetische Symbiose",1,0,521.37640,0.00000,522.376
"rasender Hase",1,0,521.37640,0.00000,522.376
"erste Station einer längeren Odyssee",1,0,521.37640,0.00000,522.376
"Station einer längeren Odyssee",1,0,521.37640,0.00000,522.376
"zweites Getümmel",1,0,521.37640,0.00000,522.376
"große Selbstverständlichkeit als Aktivistin",1,0,521.37640,0.00000,522.376
"klassischer Wendehals",1,0,521.37640,0.00000,522.376
"Pflaster eines Boulevards",1,0,521.37640,0.00000,522.376
"geborene Landratte",1,0,521.37640,0.00000,522.376
"Taufregister der Stadt",1,0,521.37640,0.00000,522.376
"Welt mit größter Selbstverständlichkeit",1,0,521.37640,0.00000,522.376
"Leben einer Landedelfrau",1,0,521.37640,0.00000,522.376
"Selbstverständlichkeit als Aktivistin",1,0,521.37640,0.00000,522.376
"Vermittlung eines gemeinsamen Freundes",1,0,521.37640,0.00000,522.376
"italienisches Juwel",1,0,521.37640,0.00000,522.376
"poetische Symbiose",1,0,521.37640,0.00000,522.376
"Café einer Hauptstadt",1,0,521.37640,0.00000,522.376
"Marple der Investigation",1,0,521.37640,0.00000,522.376
"Kind in eine bitterarme Familie",1,0,521.37640,0.00000,522.376
"Ruf in der literarischen Welt",1,0,521.37640,0.00000,522.376
"Experiment im Garten",1,0,521.37640,0.00000,522.376
"maritime Karriere",1,0,521.37640,0.00000,522.376
"Landedelfrau aus wohlhabendem Haus",1,0,521.37640,0.00000,522.376
"Star der Studentengeneration",1,0,521.37640,0.00000,522.376
"Dichter ins Ausland",1,0,521.37640,0.00000,522.376
"Tochter aus verarmtem Adel",1,0,521.37640,0.00000,522.376
"Leben als Abenteurer und Geschäftsmann",1,0,521.37640,0.00000,522.376
"politisches Fundraising-partys",1,0,521.37640,0.00000,522.376
"neu gefundene Fähigkeit",1,0,521.37640,0.00000,522.376
"neues Leben als Abenteurer",1,0,521.37640,0.00000,522.376
"Gesuchte der Dichtkunst",1,0,521.37640,0.00000,522.376
"Metropole an verschiedenen Orten",1,0,521.37640,0.00000,522.376
"Macht in die Hauptstadt",1,0,521.37640,0.00000,522.376
"einzige Missetat",1,0,521.37640,0.00000,522.376
"Gesuchte über eigenes Vermögen",1,0,521.37640,0.00000,522.376
"Schulterfreie Abendkleider",1,0,521.37640,0.00000,522.376
