corpus,user/st.schwarz/scb,,
subcorpus,-,,
concordance size,238,,
query,"Query:[ws(1, 4731264)]",,
Reference,Left,KWIC,Right
doc#0,"166.71 .. has that .. little white line right the[re. 166.65 167.05 LENORE: [mhm]. 166.70 167.65 LYNNE: and that]''s where you kinda SM> -- 167.65 169.44 ...(H) kinda need a little guide, 169.44 170.46 of where you trim. 170.46 171.76 .. (TSK) (H) And, 171.76 173.85 ... I= am still scared to do it. 173.85 174.44 because, 174.44 175.02 %_you know, 175.02 175.52 .. I mean, 175.52 177.24 <HI you can",make,"<coll>HI</coll> > a horse go lame, 177.24 178.47 (H) By doing [it-]. 178.23 178.44 LENORE: [really]. 178.47 179.89 LYNNE: Well you can trim em too short. 179.89 181.06 ... % (H) And make em, 181.06 181.32 you know, 181.32 182.62 and they''re just .. a little bit, 182.62 183.06 for f- -- 183.06 184.30 the first couple of days, 184.30 184.67 you know, 184.67 186.22 I mean they''re just .. sore. 186.22 187.39 (H)"
doc#0,"169.44 170.46 of where you trim. 170.46 171.76 .. (TSK) (H) And, 171.76 173.85 ... I= am still scared to do it. 173.85 174.44 because, 174.44 175.02 %_you know, 175.02 175.52 .. I mean, 175.52 177.24 <HI you can make HI> a horse go lame, 177.24 178.47 (H) By doing [it-]. 178.23 178.44 LENORE: [really]. 178.47 179.89 LYNNE: Well you can trim em too short. 179.89 181.06 ... % (H) And",make,"<coll>em</coll> , 181.06 181.32 you know, 181.32 182.62 and they''re just .. a little bit, 182.62 183.06 for f- -- 183.06 184.30 the first couple of days, 184.30 184.67 you know, 184.67 186.22 I mean they''re just .. sore. 186.22 187.39 (H) That''s not bad, 187.39 188.78 but sometimes you can get it really bad. 188.78 190.75 You can really make a horse really bad. 190.75 191.89 (H)= And they m- -- 191.89 192.59 you know then=, 192.59 193.30 %"
doc#0,"LENORE: [really]. 178.47 179.89 LYNNE: Well you can trim em too short. 179.89 181.06 ... % (H) And make em, 181.06 181.32 you know, 181.32 182.62 and they''re just .. a little bit, 182.62 183.06 for f- -- 183.06 184.30 the first couple of days, 184.30 184.67 you know, 184.67 186.22 I mean they''re just .. sore. 186.22 187.39 (H) That''s not bad, 187.39 188.78 but sometimes you can get it really bad. 188.78 190.75 You can really",make,"a <coll>horse</coll> really bad. 190.75 191.89 (H)= And they m- -- 191.89 192.59 you know then=, 192.59 193.30 % they have to, 193.30 193.70 like, 193.70 195.72 ... (H) keep em (Hx), 195.72 197.43 ... away from anything, 197.43 197.73 you know, 197.73 199.41 get em really in the so=ft ground, 199.41 199.66 and, 199.66 201.12 .. no= .. hard pebbles, 201.12 202.91 or hard .. clods of dirt or anything? 202.91 204.03 (H)="
doc#0,". 286.16 287.53 (H) well it was a review for some people, 287.53 289.02 depend on what time of the year you took it. 289.02 289.40 You know. 289.40 290.96 (H) if it was a review or not. 290.96 291.61 (H) But, 291.61 293.08 ... (TSK) anyway, 293.08 293.47 um, 293.47 296.77 ... <PAR<P what was I gonna say. 296.77 297.67 .. I forgot what I was think- -- 297.67 299.69 LENORE: You sai[d you never]",made,"the <coll>horseshoes</coll> , 298.42 298.81 LYNNE: [gonna say] P>PAR>. 299.69 299.90 LENORE: but, 299.90 301.07 LYNNE: ... (H) Well, 301.07 302.07 % .. %w- u=m, 302.07 304.37 %= when we put em on a horse''s hoof, 304.37 305.22 all we do, 305.22 306.88 (H) they''re already made. 306.88 307.93 .. they''re round. 307.93 309.43 .. we pick out a size. 309.43 309.85 .. you know we''d, 309.85 311.11 like look"
doc#0,". 342.40 343.27 It''s already round. 343.27 344.25 You pick out your size. 344.25 345.62 (H)= .. %_You go look, 345.62 347.70 and every horse''s hoof is shaped different. 347.70 348.39 It doesn''t matter. 348.39 350.81 every horse is gonna have .. a little .. different shape. 350.81 352.94 (H) .. And so [what you have] to [2do=2], 352.07 352.57 LENORE: [So every] -- 352.57 353.42 [2every2] uh=, 353.42 354.53 <coll>horseshoe</coll> is",made,"-- 354.53 355.62 custom-made for the horse then? 355.62 356.37 LYNNE: (H) No no. 356.37 357.22 .. (H) No. 357.22 357.47 What -- 357.47 358.32 What we do, 358.32 360.34 then that''s .. that''s where the ferrier comes in. 360.34 361.86 .. (H) Every shoe, 361.86 362.44 is like, 362.44 363.88 .. you get- order, 363.88 364.28 you know, 364.28 366.65 I would like a b- case of double-aught shoes=. 366.65 367.10 You''d get- -- 367.10"
