"","article.id","text.id","comment"
"1",3,1,"Bei einem israelischen Angriff im Norden des Westjordanlandes sind palästinensischen Angaben zufolge fünf Menschen getötet worden. Bei dem Angriff auf ein Auto in Tubas sei zudem ein Mensch schwer verletzt worden, teilte der Palästinensische Rote Halbmond mit. Das israelische Militär gab an, eines seiner Flugzeuge habe drei Angriffe auf ""bewaffnete Terroristen"" geflogen.Wie die Nachrichtenagentur AFP unter Berufung auf Augenzeugen berichtete, stürmte eine große Anzahl israelischer Soldaten das Flüchtlingslager Faraa in Tubas. Es seien Explosionen zu hören gewesen.Das tägliche Töten und Verwüsten geht weiter im WJL. Stück für Stück kommt der Staat Israel so seinem offensichtlich ersehnten Ziel näher. Sehr langsam freilich, dies vielleicht aber auch wegen der bösen Weltöffentlichkeit.Mit einem Verweis auf selbige bedauerte es Minister Smotrich bekanntlich kürzlich, nicht im Hauruckverfahren über 2 Millionen Menschen im Gazastreifen verhungern lassen zu können, auch wenn der das selbst für ""gerechtfertigt"" hält. "
"2",3,2,"Die Hamas erhob den Angaben zufolge zudem Einwände gegen….Hamas fordert Druck auf Israel…. Hamas lehnt Waffenstillstandsabkommen offenbar abWas ist eigentlich diese Hamas? ZON definiert sie als ""palästinensische Terrormiliz""..."
"3",3,3,"Die Aussage der Außenministerin über die Gefährdung Israels durch diverse politische Handelnde, teilweise im Kabinettrang, ist als richtig und nachvollziehbar zu erkennen. Dennoch eine Anmerkung dazu.Die Überlegungen über das am Besten geeignete Modell zukünftiger souveräner Regelungen obliegt zuvorderst progressiven, darin engagierten israelischen und palästinensischen Krâften, zu denen seitens der internationalen Diplomatie ebenfalls ein struktureller informeller Kontakt aufgebaut werden sollte. Es existieren insgesamt drei Modelle jener zukünftigen Regelung: a) die ""klassische"" Zweistaatenlösung, b) die konföderierte Zweistaatenlösung (feste Staatszugehörigkeit bei gegenseitiger Freizügigkeit nach EU-Vorbild) und c) die Einstaatenlösung. Eine oktroyierte Lösung durch vermittelnde Staaten kann kein Ziel sein; die Auffassungen der Angehörigen beider Völker sind für die zukünftige Stabilität entscheidend.Alle drei Modelle weisen spezifische Vor- und Nachteile auf. In der Diskussion vor Ort deutet sich aber eine zumehmende Präferenz für das Modell b) an. Neben der Anbringung soziokultureller Aspekte hätte jenes den klaren Vorteil, den territorialen ""Flickenteppich"" im Gebiet C des WJL, bestehend aus palästinensischen und, durch De-facto annektiertes Land geschaffener, israelischer Siedlungen - dann im Staatsgebiet des Staat Palästina liegend - erheblich unkomplexer zu regeln.https://www.deutschlandfunk.de/initiative-fuer-konfoederation-eine-dritte-option-fuer-100.html"
"4",3,4,"https://www.israelnationalnews.com/news/395666Der frühere PM Bennet hat eine klare Sicht auf die Dinge. Nebenbei sollte sich das jeder nochmal vor Augen führen, der eine Zweistaatenlösung für eine gute Idee hält:Man schafft sich nicht freiwillig einen Nachbarschaft, die den erklärten Willen hat, einen zu vernichten.Und für alle, die ständig was anderes behaupten: Es gibt keine Anerkennung Israels von irgendeiner palästinensischen Regierung. Das ist ja nicht ein Versäumnis wie ein vergessener Haustürschlüssel, da steckt ja die Überzeugung hinter, Israel irgendwann doch noch vernichtend besiegen zu können. Und Israel soll etwas dafür tun, um die Möglichkeiten solcher Vorstellungen zu ermöglichen? "
"5",3,5,"Israel und Hamas sind sich nach US-Angaben in vielen Punkten einigRinse and repeat, alle paar Wochen die selbe ""News"". "
"6",3,6,"Ich entschuldige mich wenn der Kommentar vielleicht etwas kurz ausfällt, aber ich möchte darauf aufmerksam machen, dass Bidens ""red line"" einmal eine Bodenoffensive in Rafah gewesen sei."
"7",3,7,"Mir ist während des Presseauftritts Dayons, den er vor der Sitzung des SC heute bei den UN machte, plötzlich so deutlich geworden, welche Rolle die emotionale und verbale ""Verteufelung/Enmenschlichung"" des Gegners spielt und welches grausame Hindernis diese für einen Dialog und überhaupt für eine neutrale Betrachtung der Lebenswirklichkeit und Position des Gegenübers (Feindes) darstellt.Vereinfacht:- wenn mir ein Mitmensch gegenüber steht und meine und seine Bedürfnisse sich widersprechen, gibt es eine potentielle Lösung per Dialog, Verständnis, Ausgleich...- wenn mir ein (entmenschtlichtes) Monster gegenüber steht, gibt es nur noch (blinden) Hass und Vernichtungswillen... Das Tragische ist, dass Emotionen viel leichter zu stimulieren und verstetigen sind als die Arbeit am Verstand, am Begreifen, dem Durchdringen von Komplexität.Bevor ich den Menschen gegenüber mittels eigener Anstrengung versuche zu begreifen, verstehen, nachzuempfinden (Verstand), habe ich ihn in einer Sekunde schon tot geschlagen (Emotion) und entledige mich seiner lästigen Bedürfnisse an mich.Die emotionale und verbale ""Verteufelung/Enmenschlichung"" des Gegners dient dazu die Hoffnung auf einen gemeinsamen Frieden miteinander an der Wurzel zu vergiften.""Achte auf Deine Gedanken, denn sie werden Worte. Achte auf Deine Worte, denn sie werden Handlungen.... ""**und nein! das stammt nicht aus dem Talmud"
"8",3,8,"Der Eingang zu den 6. getöteten Geiseln war in einem Kindergarten. Vllt mag die Zeit mal berichten https://www.t-online.de/nachrichten/ausland/id_100482650/israel-gaza-news-armee-zeigt-video-von-geiselversteck-in-hamas-tunnel.html"
"9",3,9,">> Es gebe ""weder für Gaza noch die Lage im Westjordanland eine militärische Lösung"" … <<Eineinhalb Minuten aus dem Westjordanland, „Israeli bulldozers chase away Palestinian journalists as week-long raid continues – video“ -> https://www.theguardian.com/world/video/2024/sep/03/israeli-bulldozers-chase-away-palestinian-journalists-as-week-long-raid-continues-videoDie Bundesregierung hat kürzlich zumindest mal festgestellt, Israel sei „dazu verpflichtet, Recht und Ordnung aufrechtzuerhalten und die Zivilbevölkerung zu schützen, auch gegen Angriffe gewaltbereiter jüdischer Siedler“. Was man im Video sieht, ist erkennbar weiterhin das Gegenteil einer Aufrechterhaltung der öffentlichen Ordnung.Abgesehen davon, dass Israel eigentlich aufgefordert ist, das Westjordanland schnellstmöglich zu räumen."
"10",3,10,"Dieser Kommentar in der NZZ bringt es m.E. auf den Punkt.""Gleichzeitig steht Netanyahu vor einem schwer lösbaren Dilemma. Die Hamas kämpft um ihr Überleben und versucht, Israel in den Verhandlungen ein Zugeständnis zu einem definitiven Ende des Krieges abzupressen. Zu ihrer perfiden Strategie gehört es dabei auch, Geiseln zu erschießen, um den Druck zu erhöhen. Doch jedes Abkommen, das ein Überleben der Hamas sichert, käme für Israel einer Niederlage gleich. So ist auch Netanyahus Forderung, dass Israel die Grenze zwischen Ägypten und Gaza kontrollieren müsse, aus militärischer Sicht durchaus nachvollziehbar - seit Jahren dient der sog. Philadelphi-Korridor den Islamisten als Schmuggelroute für Wirtschaftsgüter.""Allerdings:""Inzwischen drängen allerdings selbst die IDF-Generäle auf mehr Flexibilität in den Verhandlungen. Sie vertreten den Standpunkt, dass Israel die Kämpfe auch nach einer Einigung auf einen Waffenstillstand bei Bedarf jederzeit wieder aufnehmen könne - die Hamas werde dafür ohnehin genügend Gründe liefern..""https://www.nzz.ch/meinung/den-hamas-geiseln-in-gaza-laeuft-die-zeit-davon-ld.1846671Hamas will den Druck erhöhen, die israelische Gesellschaft spalten und wird/würde ein Abkommen als großen Sieg gegen Israel feiern à la ""Seht her, Geiselnahmen lohnen sich.""Andererseits stimmt es: Die Geiseln können nicht mehr warten. Kein Abkommen bedeutet den sicheren Tod für viele - grausam zelebriert von den Terroristen. Das würde Israel ""zerreißen""."
