"","date","docname","from","to","pre","keyword","post","pattern"
"2","2013-04-18","zo_1190785.xhtml",39,39,"] [ zur Übersicht Politik ] POLITIK DIE ZEIT N ° 17 / 13 Unter dem Markenzeichen » Partei neuen Typs « hat sich am Wochenende in Berlin die » Alternative für Deutschland « (","AfD",") gegründet . Es war wohl eher ein Zufall , dass Bernd Lucke seiner Anti-Euro-Partei damit dasselbe Typenschild verpasste , das vor 65 Jahren die SED für sich in Anspruch nahm . Wenn die AfD","AfD|AFD"
"3","2013-04-18","zo_1190785.xhtml",74,74,"AfD ) gegründet . Es war wohl eher ein Zufall , dass Bernd Lucke seiner Anti-Euro-Partei damit dasselbe Typenschild verpasste , das vor 65 Jahren die SED für sich in Anspruch nahm . Wenn die","AfD","schon vor ihrer Gründung unter Ideologieverdacht stand , ging es dabei schließlich nicht um linkes , sondern eher um rechtes Gedankengut . Gemessen allein am Programm der Partei lässt sich dieser Verdacht kaum erhärten .","AfD|AFD"
"4","2013-04-18","zo_1190785.xhtml",423,423,". Die Kritik an den » verbrauchten Altparteien « , an der » Degeneration des deutschen Parlamentarismus « , am » politischen Betrug « der Euro-Politik , das sind die Stichworte , auf die der","AfD-Sympathisant","offenbar anspringt . Es handelt sich hauptsächlich um mittelalte Männer , die andauernd zwischen Wut und Euphorie , Frust und Jubel hin- und herschwanken . » Wollt ihr , dass mit euren Steuern Griechenland finanziert","AfD|AFD"
"5","2013-04-18","zo_1190785.xhtml",487,487,", dass mit euren Steuern Griechenland finanziert wird ? Wollt ihr für ein Land zahlen , in dem Steuerhinterziehung Volkssport und Korruption Gewohnheit ist ? « Das sind die Fragen , von denen sich die","AfD-Anhänger","begeistern lassen . Dass die Partei ihren Euro-Frust mit anderen populismusgängigen Themen - etwa der Wut auf Migranten - kurzschließen könnte , dafür gibt es derzeit keine Anzeichen . Die Gründungsveranstaltung zeigte , dass die","AfD|AFD"
"6","2013-04-18","zo_1190785.xhtml",523,523,"begeistern lassen . Dass die Partei ihren Euro-Frust mit anderen populismusgängigen Themen - etwa der Wut auf Migranten - kurzschließen könnte , dafür gibt es derzeit keine Anzeichen . Die Gründungsveranstaltung zeigte , dass die","AfD","eine zwar leicht entzündliche , zugleich aber eine überraschend straff geführte Bewegungspartei ist . Die Führung wird alles daransetzen , dass das so bleibt . Sie will den Frust einer verunsicherten gesellschaftlichen Mitte auf das","AfD|AFD"
"7","2013-04-25","zo_politik.xhtml",232,232,"( 620 Wörter ) Heute - Damals Ja 2013 und Ja 1922 VON RONJA VON WURM-SEIBEL ( 291 Wörter ) Menschenrechte Sie einzufordern ist kein Wahn von Gutmenschen VON VOLKMAR DEILE ( 961 Wörter )","AfD","Frischer als die Piraten VON KHUE PHAM ( 364 Wörter ) Zeitgeist Online-Unis revolutionieren die Bildung VON JOSEF JOFFE ( 503 Wörter ) [ zur Ressort-Übersicht ]","AfD|AFD"
"8","2013-04-25","zo_1192487.xhtml",1087,1087,"Bluebox , ein Kasten von rund neun Quadratmetern , in dem die » Schalten « aufgenommen werden . An diesem Abend etwa schaltete Moderator Welke zur » wunderbar muffigen Melange « bei der neugegründeten Anti-Euro-Partei","AfD",". Christian Ehring als Reporter befragt dort Mitglieder zu ihren politischen Erwartungen und bekommt Antworten wie diese : » Die Merkel hält uns wenigstens die Türken vom Hals . « Die glücklichsten Momente im Leben","AfD|AFD"
"9","2013-04-25","zo_1192487.xhtml",2138,2138,"und den Stürmer . « Geulkt werden darf , aber klar ist : Die Rechtsradikalen sind immer die Bösen . Am Abend nach der Sendung , in der Welke die Energiewende , die neue Partei","AfD","und den NSU erklärt hat , fällt beim Bier ein entscheidender Satz : » Am Ende braucht Comedy immer einen Bösen . « Georg Hirschberg , der Produzent der Sendung , sagt ihn an der","AfD|AFD"
"10","2013-04-25","zo_1192415.xhtml",1171,1171,"eine Macht , die der Macht in den Arm fällt , wenn es sein muss . Volkmar Deile war 1990 bis 1999 Deutschland-Chef von Amnesty International Foto : Johannes Eisele / www.forum-menschenrechte.de nächster Artikel :","AfD","Frischer als die Piraten [ zur Übersicht Politik ] [ zum Ressort Dossier ] [ zur Ressort-Übersicht ]","AfD|AFD"
"11","2013-04-25","zo_1192476.xhtml",47,47,"ZEIT N ° 18 / 13 Wer ist hier alt ? Frischer als die Piraten : Die » Alternative für Deutschland « VON KHUÊ PHAM Seit sich die Rentner von der Alternative für Deutschland (","AfD",") zusammengetan haben , wissen die Piraten , was es heißt , alt auszusehen . Kein schönes Gefühl . Seit Wochen müssen sie in den Medien große Geschichten über die D-Mark-Rebellen lesen , während sie","AfD|AFD"
