"","article.id","text.id","date","user","comment"
"1",1,0,"""date of creation"": ""2024-09-08 17:41:25""","""creator"": ""esteeschwarz""","content: {""id"": ""8dc4e485-f39e-4a74-91b2-c598c5cec88d"", ""audio_type"": """", ""owner"": ""redaktion"", ""content_type"": ""article.visual"", ""ressort"": ""politik"", ""sub_ressort"": ""deutschland"", ""product_id"": ""zede"", ""cluster"": """", ""publishing_date"": ""2024-09-01T22:31:42+02:00"", ""last_updated"": ""2024-09-01T22:31:42+02:00"", ""authors"": ""dana  hajek;annick ehmann"", ""pages"": ""1/1"", ""keywords"": ""politik;wahlverhalten bei den landtagswahlen;landtagswahl;sachsen;th\u00fcringen;afd;cdu;b\u00fcndnis sahra wagenknecht;wahlbeteiligung"", ""length"": 6642, ""access"": ""dynamic"", ""publisher_assets"": """", ""channels"": ""politik;deutschland;datenjournalismus;freitext""}"
"2",1,1,"LadyCroom   vor 3 Tagen","L//LadyCroom","Ich war in den Sommerferien in der Normandie. Schicken wir sie alle mal dahin, diese Überzeugungstäter! Auf die Friedhöfe, wo die Soldaten liegen. Wo in der Nähe meines Großvaters (Vater von vier kleinen Kindern, die heute alt und gebrechlich noch immer geprägt und traumatisiert sind vom Verlust des Vaters), der erst 15-jährige Heinz begraben liegt. Neben 10.000den weiteren jungen Männern, die keine Zukunft mehr hatten und die bis heute fehlen. Sollen sie sich die Bunker des Atlantikwalls anschauen, sollen sie sehen, wie ekelhaft und sinnlos diese Materialschlacht ist, diese Menschenverachtung, diese Entmenschlichung, sollen sie sehen, wie bedrückend, kalt und ungemütlich der Krieg wirklich ist! Der Friede, der aus der Monstrosität des Zweiten Weltkriegs erwachsen ist, ist der einzige Trost, den wir haben. Wir dürfen uns das nicht wegnehmen lassen! Niemals! "
"3",1,2,"Simplicio   vor 3 Tagen","S//Simplicio","""Das Thema Sicherheit treibt die Wähler um"".Fakt: Wir leben in einem der sichersten Länder der Welt. Wer sich mit den Zahlen beschäftigt, wird festellen, dass die gefühlte Unsicherheit keinen wirklichen Grund in den Zahlen hat. Sie wurde herbei geredet und geschrieben, von AfD , Merz, Bild...."
"4",1,3,"Simpson   vor 3 Tagen","LM//Lisa","Dank Friedrich M.Vielleicht mag sich das der eine oder andere bei der Union ja schönreden, aber Fakt ist:- durch die Schärfe im Diskurs, profitiert nicht die CDU, sondern eben die AfD, weil sich deren Anhänger in ihrer Sicht bestätigt fühlen dürfen, durch die CDU Spitze und wer die Grünen als politischen Hauptgegner tituliert und von grüner Ideologie schwafelt, verhilft nunmal Faschisten an die Macht- auch Medien sollten ihre eigene Rolle kritisch hinterfragen, denn so sehr wie alles bei der Ampel skandalisiert wird und zugleich das Thema Migration als Hauptzugpferd für Klicks genutzt wird, braucht man sich nicht wundern- genauso haben aber auch SPD und Grüne Schuld, weil sie das eigene Profil verwässern, ihre Kernthemen vernachlässigen, es allen rechtmachen wollen und Brandstifter wie Friedrich M. nicht in ihre Schranken weisen- und dann natürlich noch die auf friendly fire spezialisierten Freidemokraten rund um Chrissi L., der die Regierung torpediert um Schwarz Gelb vorzubereiten, dabei aber übersieht, dass es keine solche Mehrheit geben- Sarah W wollen wir natürlich nicht vergessen. Keine Waffen für die Ukraine, sondern lieber den Wolf in den Hühnerstall lassenJa, die Demokratie hat einen schweren Schaden erlitten und viele der Parteien machen ihre Fehler, aber nichts davon entschuldigt es, dass man in Deutschland Faschisten und Neonazis wählt."
"5",1,4,"Ideologie   vor 3 Tagen","//Vernunft","Danke für diese differenzierte Analyse des Wahlverhaltens. Auch wenn das Ergebnis oft nicht schmeckt.Wir müssen wieder dazu kommen, dass die Regierenden Parteien den Wählerwillen ernst nehmen. Sonst haben wir künftig noch mehr Wahlergebnisse dieser Art. Das bedeutet aber auch, dass man auch diejenigen rd. 30% der Wähler ernst nehmen muss, bei denen man es sich bisher viel zu einfach gemacht hat, indem man sie nur in die Schmuddelecke stellte."
"6",1,5,"Riggs   vor 3 Tagen","PR//Porter","Kapiert ihr erst jetzt das die meisten AfD Wähler genau das wollen was die AfD verkörpert? Wer Nazis wählt der ist ein Nazi was denn sonst? Kapiert Ihr auch irgendwann mal das diese Menschen auch völlig resistent gegenüber Bildung sind, z.b. die Zeit überhaupt nicht kennen und auch sonst seriösen politischen Diskurs langweilig finden ganz einfach dumm sind? Wenn Kinder in der Schule schlecht sind dann bekommen Sie entsprechende Noten und werden stigmatisiert aber jetzt als Erwachsene da darf man es nicht beim Namen nennen wir bewegen uns wie die USA hart in Richtung Idiocracy. "
"7",1,6,"KpE   vor 3 Tagen","//W.","Wahrnehmung und Realität laufen völlig auseinander.Kriminalität ist real gesunken, Zuwanderung ist zu gering um den Arbeitsmarkt zu bedienen und das Sozialsystem in eines der besten in Europa.Zukunftsängste umgeleitet: Eigentlich geht es doch um Klimawandel und Artensterben die uns zwingen werden Änderungen in unserem Leben vor zu nehmen."
"8",1,7,"Octopus   vor 3 Tagen","JO//Julius","Den Erfolg bei den jungen Wählern einfach nur auf die Sozialen Medien zu schieben greift ein bisschen kurz. Die Jungwähler haben aus erster hand mitbekommen was teilweise besonders aber in sozialen Brennpunkten auf den Pausenhöfen und in den Klassenräumen los, einige wurden auch schon mal ""abgezogen"". Nach der Veröffentlichung der RKI Protokolle haben auch junge Wähler, die unter den Massnahmen besonders litten , realisiert dass diese teilweise alles andere als verhältnismässig waren. Zum Thema Sicheheit, also die Statistiken des BKA wurden nicht von der BILD, von Merz oder der AfD erstellt, und jedem der hier meint wir seinen eines der sichersten Länder der Welt enpfehle ich mal ab und zu einen Blick in die Regionalzeitungen zu werfen.In den hippen Vierteln der Grosstädte mag man sich ja sehr sicher fühlen, abseits dieser sieht es etwas anders aus.Wir haben hier in unserer Kreisstadt in Schleswig-Holstein, übrigens das einzige Bundesland in dem die AfD nicht im Landtag sitzt, eine Fachhochschule. Dort wurde eine Umfrage gemacht inwieweit die Studierenden das Kneipenangebot in der Stadt nutzen, die übergrosse Mehrheit nie oder nur selten, erster Grund die Sicherheit, auch hier gab es schon diverse Vorfälle.Gesichert RECHTS dürfte die wenigsten Studierenden sein !"
"9",1,8,"Zolt​an   vor 3 Tagen","Z//Zolt​an","Von Dänemark lernen."
"10",1,9,"JoAx1   vor 3 Tagen","J//JoAx1","Aha aus Überzeugung AFD gewählt … oder ist man evt einfach nur strunz dumm.Für Faschos wählen gibt es keine Entschuldigung einfach nur zum kotzen."
"11",1,10,"Florian   vor 3 Tagen","TF//Tim","Dass die Union die Grünen immer wieder als Hauptgegner dargestellt hat, spielt den. Rechtsextremen in die Hände. Herr Merz sah sich doch in der Lage, den Stimmenanteil der AfD zu halbieren. Warum kämpft die Union dann nicht klar gegen die AfD? Weil die Grünen ein schwächerer Gegner sind. Dadurch verliert die Demokratie. Friedrich Merz ist weit davon entfernt, seine großspurigen Ankündigungen umzusetzen. Trauriges Scheitern!"
"12",1,11,"kluk   vor 3 Tagen","kk//kluk","Rechtsrutsch und Unregierbarkeit.Nun bewahrheiten sich die Befürchtungen der Mahner von 2015.Leider."
"13",1,12,"Dogwalker   vor 3 Tagen","//Dogwalker","Rechtsextrem aus Protest zu wählen wäre schon eine Dummheit- aus überzeugender ist es eine Form politischer Demenz und im Angesicht der deutschen Geschichte eine moralische Bankrotterklärung."
"14",1,13,"Manuel33   vor 3 Tagen","M//Manuel33","Die AfD oder das BSW wegen der Zuwanderung zu wählen, macht nicht wirklich Sinn. Immerhin sind es Putins Bomben, welche einen großen Teil der Menschen in die Flucht geschlagen haben. Beide Parteien sind recht russlandnah."
"15",1,14,"Runkelstoss   vor 3 Tagen","//Runkelstoss","Menschen in Thüringen haben Angst vor Zunahme von KriminalitätSicherheit ist das größte ThemaIm sichersten Land der EU, nach Luxemburg."
"16",1,15,"Steppenwolf1967   vor 3 Tagen","S//Steppenwolf1967","Das heißt aber, daß man die Hälfte der AfD Wähler mit einer guten Politik zurückgewinnen könnte. Also heißt doch die Devise eine gute Politik machen und diese Menschen wieder gewinnen und aufhören die Menschen für dumm zu verkaufen."
