"","id","a","t"
"1","1","poetologische Reflexion von Büchners Verfahren, ein Sechstel seines Dramentextes unmittelbar aus historischen Darstellungen abzuschreiben ","## 1
poetologische Reflexion von Büchners Verfahren, ein Sechstel seines Dramentextes unmittelbar aus historischen Darstellungen abzuschreiben 
"
"2","2","- buechner lässt hier das publikum seine eigene technik kommentieren und stellt sie damit in frage","- buechner lässt hier das publikum seine eigene technik kommentieren und stellt sie damit in frage
"
"3","3","Melancholie der Titelfigur mit einem posthistorischen Geschichtsverständnis in Verbindung zu setzen, dem zufolge noch revolutionäre Umsturzversuche in die ewige Wiederkehr des Gleichen münden ","## 3
Melancholie der Titelfigur mit einem posthistorischen Geschichtsverständnis in Verbindung zu setzen, dem zufolge noch revolutionäre Umsturzversuche in die ewige Wiederkehr des Gleichen münden 
"
"4","4","Kaum war der sozialgeschichtliche Ansatz an die Stelle textimmanenter Analysen getreten, wurde er wieder von strukturalen und poststrukturalen Modellen hinterfragt ","## 4
Kaum war der sozialgeschichtliche Ansatz an die Stelle textimmanenter Analysen getreten, wurde er wieder von strukturalen und poststrukturalen Modellen hinterfragt 
"
"5","5","- wer? vertreter:
  - textimmanent
  - soz.geschichtl.
  - struktural/poststruktural
  ","- wer? vertreter:
  - textimmanent
  - soz.geschichtl.
  - struktural/poststruktural
  
"
"6","6","Alternative zwischen ‚eigenem‘ Text und ‚fremden‘Kontext gerät spätestens ins Wanken, wenn die Kontexte selbst zur ästhetischen Faktur eines literarischen Textes werden, wenn die Texte also durch eine, modern gesprochen, dokumentarische Montage nicht nur historisch kontextualisierbar sind, sondern die entsprechenden Kontexte auf der Textoberfläche selbst präsentieren und zum Teil des Textes werden lassen. ","## 6
Alternative zwischen ‚eigenem‘ Text und ‚fremden‘Kontext gerät spätestens ins Wanken, wenn die Kontexte selbst zur ästhetischen Faktur eines literarischen Textes werden, wenn die Texte also durch eine, modern gesprochen, dokumentarische Montage nicht nur historisch kontextualisierbar sind, sondern die entsprechenden Kontexte auf der Textoberfläche selbst präsentieren und zum Teil des Textes werden lassen. 
"
"7","7","- volk *ist* kontext;  *wird* selbst sprecher, das den kontext kommentiert *und* seine darstellung","- volk *ist* kontext;  *wird* selbst sprecher, das den kontext kommentiert *und* seine darstellung
"
"8","8","Spannung zwischen dem Versuch, die Revolution in die Bahnen vertrauter historischer Kontexte zurückzuführen und einem Verständnis der Revolution als konsequente Umwälzung und beispiellosen Neuanfang, ","## 8
Spannung zwischen dem Versuch, die Revolution in die Bahnen vertrauter historischer Kontexte zurückzuführen und einem Verständnis der Revolution als konsequente Umwälzung und beispiellosen Neuanfang, 
"
"9","9","einerseits historische, andererseits mit der Historie brechende Revolution ","## 9
einerseits historische, andererseits mit der Historie brechende Revolution 
"
"10","10","Friedrich Schlegels apodiktische Subsumption der Französischen Revolution unter die „Tendenzen des Zeitalters ","## 10
Friedrich Schlegels apodiktische Subsumption der Französischen Revolution unter die „Tendenzen des Zeitalters 
"
"11","11","Kleists Verlegung des Impulses zum Umsturz in das Zucken von Mirabeaus Oberlippe ","## 11
Kleists Verlegung des Impulses zum Umsturz in das Zucken von Mirabeaus Oberlippe 
"
"12","12","mit vierzigjähriger Verspätung entsteht ein Drama, das den Augenblick, in dem die Revolution ihre Kinder frisst, zum unmittelbaren Gegenstand hat ","## 12
mit vierzigjähriger Verspätung entsteht ein Drama, das den Augenblick, in dem die Revolution ihre Kinder frisst, zum unmittelbaren Gegenstand hat 
"
"13","13","Vielmehr antworten einige anonyme Stimmen: „Das war schon einmal da! wie langweilig!“ ","## 13
Vielmehr antworten einige anonyme Stimmen: „Das war schon einmal da! wie langweilig!“ 
"
"14","14","Lacroix zitiert also Lasource, oder genauer: Büchner legt Dantons Freund Worte in den Mund, die er einer seiner Hauptquellen für das Drama, dem Periodikum „Unsere Zeit“, entnimmt.6 Die Antwort des Volkes auf Lacroix’ Provokation besteht darin, seine revolutionär gemeinte Aussage als Zitat zu entlarven ","## 14
Lacroix zitiert also Lasource, oder genauer: Büchner legt Dantons Freund Worte in den Mund, die er einer seiner Hauptquellen für das Drama, dem Periodikum „Unsere Zeit“, entnimmt.6 Die Antwort des Volkes auf Lacroix’ Provokation besteht darin, seine revolutionär gemeinte Aussage als Zitat zu entlarven 
"
"15","15","es ist bekannt, dass ungefähr ein Sechstel des überlieferten Dramentextes aus mehr oder weniger wörtlichen Zitaten besteht, dass „Danton’s Tod“, wie Büchners Mentor Karl Gutzkow früh festhielt, „ein dramatisirtes Capitel des Thiers“ sei,7 abgeschrieben aus der „Histoire de la Révolution Française“ von Adolphe Thiers (1823–1827) also – kein geringer Skandal für eine auf die Originalität poetischer Werke setzende Ästhetik ","## 15
es ist bekannt, dass ungefähr ein Sechstel des überlieferten Dramentextes aus mehr oder weniger wörtlichen Zitaten besteht, dass „Danton’s Tod“, wie Büchners Mentor Karl Gutzkow früh festhielt, „ein dramatisirtes Capitel des Thiers“ sei,7 abgeschrieben aus der „Histoire de la Révolution Française“ von Adolphe Thiers (1823–1827) also – kein geringer Skandal für eine auf die Originalität poetischer Werke setzende Ästhetik 
"
