"","token","frequency.Var1","frequency.Freq"
"1","-","-",36
"2","'","'",2
"3","'d","'d",176
"4","'ll","'ll",194
"5","'m","'m",910
"6","’m","’m",4
"7","'re","'re",454
"8","'s","'s",2596
"9","’s","’s",4
"10","'ve","'ve",544
"11","++","++",14
"12","0","0",2
"13","1","1",6
"14","135","135",2
"15","1993","1993",2
"16","2","2",4
"17","2014","2014",2
"18","2DS","2DS",4
"19","3","3",2
"20","300","300",2
"21","41s","41s",2
"22","6","6",2
"23","a","a",2370
"24","A","A",10
"25","A4","A4",4
"26","abandoned","abandoned",2
"27","abbreviations","abbreviations",2
"28","abilities","abilities",2
"29","ability","ability",6
"30","able","able",22
"31","about","about",414
"32","absolute","absolute",14
"33","absolutely","absolutely",54
"34","abstract","abstract",4
"35","abused","abused",10
"36","ac","ac",2
"37","academic","academic",54
"38","academically","academically",10
"39","accepting","accepting",2
"40","access","access",6
"41","account","account",6
"42","accounts","accounts",2
"43","accusing","accusing",2
"44","achievement","achievement",4
"45","across","across",22
"46","act","act",2
"47","active","active",10
"48","activity","activity",4
"49","actual","actual",12
"50","actually","actually",46
"51","Adam","Adam",2
"52","adapts","adapts",2
"53","add","add",4
"54","adding","adding",2
"55","address","address",8
"56","ADHD","ADHD",2
"57","adjectives","adjectives",2
"58","adjust","adjust",2
"59","admire","admire",2
"60","admit","admit",2
"61","Adobe","Adobe",4
"62","adult","adult",6
"63","advantage","advantage",16
"64","adventure","adventure",2
"65","advice","advice",4
"66","advise","advise",2
"67","af","af",4
"68","aff","aff",2
"69","affairs","affairs",2
"70","affec","affec",2
"71","affect","affect",2
"72","affecting","affecting",6
"73","affection","affection",2
"74","affects","affects",2
"75","afraid","afraid",4
"76","Africa","Africa",2
"77","after","after",30
"78","afternoons","afternoons",2
"79","afterwards","afterwards",6
"80","again","again",98
"81","against","against",8
"82","age","age",26
"83","aggregate","aggregate",4
"84","ago","ago",44
"85","agree","agree",6
"86","ah","ah",136
"87","ahead","ahead",6
"88","ai","ai",22
"89","AI","AI",4
"90","aimed","aimed",2
"91","aint","aint",4
"92","air","air",16
"93","al","al",10
"94","algorithm","algorithm",2
"95","Alice","Alice",2
"96","aligned","aligned",6
"97","aligning","aligning",2
"98","alive","alive",2
"99","all","all",404
"100","allergic","allergic",4
"101","allotment","allotment",2
"102","allow","allow",8
"103","allowed","allowed",4
"104","almost","almost",18
"105","alone","alone",8
"106","along","along",10
"107","already","already",6
"108","alright","alright",58
"109","also","also",14
"110","alter","alter",2
"111","alterations","alterations",8
"112","although","although",14
"113","altogether","altogether",2
"114","always","always",98
"115","Alzheimer","Alzheimer",2
"116","am","am",50
"117","ama","ama",2
"118","amazing","amazing",2
"119","ambient","ambient",2
"120","ambiguity","ambiguity",2
"121","ambiguous","ambiguous",2
"122","amends","amends",4
"123","America","America",6
"124","amount","amount",8
"125","amounts","amounts",4
"126","an","an",210
"127","ana","ana",2
"128","analyse","analyse",10
"129","analysing","analysing",6
"130","analysis","analysis",2
"131","analytical","analytical",4
"132","anathema","anathema",2
"133","and","and",3076
"134","Andrew","Andrew",2
"135","android","android",2
"136","anecdotally","anecdotally",2
"137","anger","anger",2
"138","angle","angle",6
"139","angry","angry",20
"140","animal","animal",2
"141","animals","animals",10
"142","annoy","annoy",2
"143","annoying","annoying",4
"144","another","another",38
"145","ans","ans",2
"146","ansk","ansk",2
"147","answer","answer",22
"148","answered","answered",10
"149","answering","answering",4
"150","answers","answers",8
"151","antipsychotic","antipsychotic",2
"152","antivirus","antivirus",2
"153","anxiety","anxiety",4
"154","any","any",90
"155","anybody","anybody",10
"156","anymore","anymore",16
"157","anyone","anyone",8
"158","anything","anything",118
"159","anyway","anyway",38
"160","anyways","anyways",4
"161","anywhere","anywhere",6
"162","ap","ap",2
"163","apart","apart",20
"164","aperture","aperture",2
"165","apple","apple",2
"166","Apple","Apple",2
"167","applied","applied",2
"168","applies","applies",2
"169","apply","apply",2
"170","applying","applying",2
"171","appointment","appointment",2
"172","appreciate","appreciate",2
"173","approach","approach",4
"174","approaching","approaching",2
"175","appropriate","appropriate",8
"176","apps","apps",2
"177","ar","ar",4
"178","architect","architect",12
"179","architecture","architecture",12
"180","archive","archive",6
"181","are","are",212
"182","area","area",18
"183","areas","areas",6
"184","arena","arena",2
"185","Argos","Argos",2
"186","argument","argument",2
"187","arguments","arguments",2
"188","arise","arise",2
"189","arms","arms",4
"190","aro","aro",2
"191","aromatic","aromatic",10
"192","around","around",54
"193","arrangements","arrangements",2
"194","arse","arse",2
"195","art","art",62
"196","articles","articles",4
"197","artist","artist",10
