;"Commemorative head of a queen mother"@en;<http://commons.wikimedia.org/wiki/Special:FilePath/Afrikaabteilung%20in%20Ethnological%20Museum%20Berlin%2029.JPG>;"iron"@en;"made from material"@en;<http://commons.wikimedia.org/wiki/Special:FilePath/Beyond%20Compare%20%E2%80%93%20Bode-Museum%2011%2003%2029%20768000.jpeg>;"glass"@en;"bronze"@en;"crown"@en;"depicts"@en;"Benin Empire"@en;"country of origin"@en;"necklace"@en;"Benin City"@en;"location of creation"@en;"scarification"@en;"Ethnological Museum Berlin"@en;"collection"@en;"location"@en;"lost-wax casting"@en;"fabrication method"@en;"sculpture"@en;"instance of"@en;"inlay"@en;"Edo people"@en;"culture"@en;"human head"@en;"commemorative sculpture"@en;"queen mother"@en;"Bronze Head of Queen Idia"@en;"based on"@en;"Idia"@en;"main subject"@en;"Beyond Compare: Art from Africa in the Bode-Museum"@en;"exhibition history"@en;"Commemorative head of Queen Mother"@en;"different from"@en
"Commemorative head of a queen mother"@en;0;23;2;6;23;2;2;2;12;4;4;4;2;2;2;4;2;2;2;4;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2
<http://commons.wikimedia.org/wiki/Special:FilePath/Afrikaabteilung%20in%20Ethnological%20Museum%20Berlin%2029.JPG>;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"iron"@en;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"made from material"@en;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
<http://commons.wikimedia.org/wiki/Special:FilePath/Beyond%20Compare%20%E2%80%93%20Bode-Museum%2011%2003%2029%20768000.jpeg>;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"glass"@en;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bronze"@en;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"crown"@en;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"depicts"@en;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Benin Empire"@en;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"country of origin"@en;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"necklace"@en;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Benin City"@en;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"location of creation"@en;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"scarification"@en;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
