"","x"
"1","macht meh spass zweitä...[1-5] au okay. schrieb dir wenn i weiss wiä lang es goht[6-17]"
"2","i glaub i gang go pfussä. mach morn morge nomol ä rundi.[1-6] okay wie du meinsch!  emojiQfaceWithStuckOutTongueAndTightlyClosedEyes[7-12]"
"3","redactedQ3tokens18characters[1-1] Moi aussi[2-3] Mega feshdiputz[4-5] redactedQ3tokens20characters[6-6] okay han e neui tastatur....[7-12]"
"4","Bin am 10 vor ade hardbrugg[1-6] okay[7-7] ich gang eze am hb ufs träämli[8-14]"
"5","Wie geht es mit Müdigkeit?[1-5] Eigentlich okay. Kann noch nicht wirklich durchschlafen - bin gestern eine stunde und heute eine halbe früher aufgestanden  emojiQsmilingFaceWithOpenMouthAndSmilingEyes[6-25]"
"6","so, jetzt[1-3] nei e anderi[4-6] okay[7-7] aer mir chönd jo glich lerne[8-13]"
"7","schatz gang en zug früehner!!![1-6] okay i chummä no.[7-11] phuuu äs ghetto do... verspötigä...,[12-19]"
"8","Kann ich dein handy benutzen? Ich will im Paradies anrufen. Ich will Gott danken, dass er mir so ein/e tolle/n Freund/in wie dich geschickt hat. Schicke das an 12 Freunden und natürlich auch an mich...denn heute ist ""I-love-you-friend-day"". In 60 Minuten wird dich etwas sehr glücklich machen. Aber du musst es an 12 Freunden schicken, die du lieb hast... emojiQheavyBlackHeart<br/>Du zuerst..<br/>Schick das an alle deine Kontakte und lasse dich überraschen, welche Zahlen du zurück bekommst..<br/><br/>1 -Ich liebe dich. <3<br/><br/>2 -Ich mag dich. :)<br/><br/>3 -du bist ein/e gute/r Kollege/in.<br/><br/>4 -Ich Hasse Dich.<br/><br/>5 -Lass Freunde bleiben, aber wir müssen später heiraten. ;D :**<br/><br/>6 -Wilst du mit mir gehen? *_*<br/><br/>7 -Du bist einfach zu geil. :D<br/><br/>8 -Kein Kontakt. ._.<br/><br/>9 -Beste Freunde. :*<br/><br/>10 -Ich bin i.wie in dich verliebt! :* :o<br/><br/>11 -Will dich nie verlieren.!!<br/><br/>12 -Bist mir sehr wichtig. :**<br/><br/>13 -Hab dich mega lieb. <3<br/><br/>14 -Lass uns ficken. *_*<br/><br/>15 -Will Nacktbild. <3<br/><br/>16. Cooler Typ.<br/><br/>17 -Geh mit mir duschen. O.o<br/><br/>18. -Bist okay.<br/><br/>Sorry.. Wenn du diese Nachricht aufgemacht hast, wird dich am Freitag dein Schatz küssen und morgen wird der beste Tag deines Lebens.<br/>Aber wenn du diese Nachricht nicht sofort an 12 Personen sendest,wirst du ab heute Mitternacht nur unglück haben bis du 60 Bist los.[1-59]"
"9","Besser andersmol, wil i bin gescht ned dehei gsi zume esse, denn het oma gseit sie macht da wa sie gescht het wele choche hüt und denn söti scho do si[1-6] okay[7-7] easy[8-8] sus alles okay?[9-12]"
"10","Jo eigentlich alles usm internet vorallem wikipedia[1-6] okay da isch demfall erlaubtv[7-11] ?[12-12]"
"11","ich bi vollgfressä! d zahnärzt hend so verbarmä das mi mit esse vollstopfät![1-6] okay denn lueg i für mich.[7-13]"
"12","de best boifrend ischni eisere klass*-*[1-6] okay haha[7-8] whaat? echt![9-12]"
"13","wieso weisch du dasi gwechslet han? hani da erwähnt am samstig? :D[1-1] Hahaha io hesch :D[2-5] hm okay nomel e puzzle teili  emojiQfaceWithTearsOfJoy[6-12]"
"14","Ned ganz, casino isch den no ;)[1-5] Hehe okidoki.[6-8] Han no kein lohn zum verzocke  emojiQfaceWithStuckOutTongueAndTightlyClosedEyes[9-15]"
