User,Post
peter_koenig@gruene.social,"<p><span class=""h-card"" translate=""no""><a href=""https://chaos.social/@HonkHase"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>HonkHase</span></a></span></p><p>Wow!</p><p>▶️ Die eigentliche Gefahr, so Disch, liegt in Rahmenbedingungen, die ein wirkungsvolles Widersprechen verunmöglichen. Als Beispiel dient ihr die gezielte Fabrikation von Falschinformationen durch die britische und US-amerikanische Regierung, die dem Irakkrieg 2003 vorausging.◀️</p><p>IMO wurde zwischen dem 1. und 2. Irak-Krieg eine Vertrauens-Nulllinie unterschritten und ein Resonanzraum zum Lügen/„acting in concert“ erzeugt.</p><p>Trump, afd &amp; Co. schwingen mit dessen Frequenz, nur lauter.</p>"
JohnMeils@mastodon.social,"<p><span class=""h-card"" translate=""no""><a href=""https://mastodon.social/@Korallenherz"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>Korallenherz</span></a></span> <span class=""h-card"" translate=""no""><a href=""https://infosec.exchange/@outwitplaylist"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>outwitplaylist</span></a></span> </p><p>Tja, so hat die Verblendung bei den AfD-Wählern, den Trump-Wählern usw. auch angefangen. Wer sagt‘s ihr?</p>"
obucate@bildung.social,"<p><span class=""h-card"" translate=""no""><a href=""https://newsie.social/@dieKadda"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>dieKadda</span></a></span> </p><p>Wer mehr zu Hand in Hand nachlesen will, findet Infos hier:<br><a href=""https://hihful.de/ueber-uns/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span class="""">hihful.de/ueber-uns/</span><span class=""invisible""></span></a></p><p>Stellenweise klingt es wie aus einem Höcke-Video, insbesondere, wenn es um die Rolle der Medien, Bargeld, erneuerbare Energien, ""Heizungswahn"" oder Subventionen geht.<br>Spoiler: Subventionen für Strukturen des Allgemeinwohls (d.h. z.B. Landwirtschaft) sind in Ordnung. </p><p>Schnittmengen zu <a href=""https://bildung.social/tags/FW"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>FW</span></a> und <a href=""https://bildung.social/tags/AfD"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>AfD</span></a> gibt es also zuhauf.</p>"
Zada_Bury@bark.lgbt,"<p>Liebe <span class=""h-card"" translate=""no""><a href=""https://ard.social/@tagesschau"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>tagesschau</span></a></span>  ...<br>... wie wäre es denn einfach schon mal damit, das nicht jede ""Die Grünen!!!eins!!elf""-Kritik aus Reihen von den Leuten, welche es rund 2 Jahrzehnte versemmelt haben (CDU, CSU ... FDP ohnehin ... falls irgendein Goldfisch es schon wieder vergessen hat), unkommentiert in die welt zu blasen.</p><p>Eine fachliche, journalistische ... KURZE ... Einschätzung, was da schief gelaufen ist und wer in der Vergangenheit daran Schuld war ... wäre schon mal ein Ansatz.<br>Oder auch gleich eine Einordnung ""ach, AFD ... jaja, labern mal wieder Schwachsinn, weil ..."".</p>"
wernerprise@mastodon.bits-und-baeume.org,"<p>Hallo <span class=""h-card"" translate=""no""><a href=""https://ard.social/@tagesschau"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>tagesschau</span></a></span> <span class=""h-card"" translate=""no""><a href=""https://ard.social/@NDR"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>NDR</span></a></span> <span class=""h-card"" translate=""no""><a href=""https://ard.social/@BR24"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>BR24</span></a></span> <span class=""h-card"" translate=""no""><a href=""https://ard.social/@swr3"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>swr3</span></a></span> <span class=""h-card"" translate=""no""><a href=""https://zdf.social/@3sat"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>3sat</span></a></span> <span class=""h-card"" translate=""no""><a href=""https://zdf.social/@ZDF"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>ZDF</span></a></span> </p><p>Hier ein hilfreiches Zitat eurer britischen Kollegen: </p><p>»Um Unparteilichkeit zu erreichen, braucht man in der BBC-Berichterstattung keine absoluten Leugner des Klimawandels, so wie man auch niemanden benötigt, der bestreitet, dass Manchester United letzten Samstag 2:0 gewonnen hat.«</p><p><a href=""https://www.carbonbrief.org/exclusive-bbc-issues-internal-guidance-on-how-to-report-climate-change/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">carbonbrief.org/exclusive-bbc-</span><span class=""invisible"">issues-internal-guidance-on-how-to-report-climate-change/</span></a></p><p>Zur Erinnerung: Die AfD, deren Führungspersonal ihr immer wieder gern einladet — mit der Begründung, ihr müsstet »neutral« bleiben —, hat unter anderem die Leugnung des menschengemachten Klimawandels auf der Agenda.</p><p>Davon abgesehen, lässt sich dieses Zitat aber auch weitergefasst lesen. Antiwissenschaftliche Positionen, Fake-News, notorische Lügner braucht man nicht, um Unparteilichkeit zu erreichen.</p><p>Gefunden habe ich das Zitat in dem lesenswerten Buch »Alles überstanden?« von Christian Drosten und Georg Mascolo.</p><p><a href=""https://mastodon.bits-und-baeume.org/tags/%C3%96RR"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>ÖRR</span></a> <a href=""https://mastodon.bits-und-baeume.org/tags/Journalismus"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Journalismus</span></a> <a href=""https://mastodon.bits-und-baeume.org/tags/FalseBalance"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>FalseBalance</span></a> <a href=""https://mastodon.bits-und-baeume.org/tags/Ausgewogenheit"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Ausgewogenheit</span></a> <a href=""https://mastodon.bits-und-baeume.org/tags/AfD"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>AfD</span></a> <a href=""https://mastodon.bits-und-baeume.org/tags/FCKAFD"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>FCKAFD</span></a> <a href=""https://mastodon.bits-und-baeume.org/tags/AfDVerbotJetzt"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>AfDVerbotJetzt</span></a> <a href=""https://mastodon.bits-und-baeume.org/tags/AfDVerbot"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>AfDVerbot</span></a> <a href=""https://mastodon.bits-und-baeume.org/tags/AfDRausAusDenParlamenten"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>AfDRausAusDenParlamenten</span></a></p>"
ZEITONLINE@flipboard.com,"<p>Thüringer Landtag: Linke-Chefin: Koalitionäre müssen Verhältnis zur AfD klären<br><a href=""https://www.zeit.de/news/2024-11/17/linke-chefin-koalitionaere-muessen-verhaeltnis-zur-afd-klaeren?utm_source=flipboard&amp;utm_medium=activitypub"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">zeit.de/news/2024-11/17/linke-</span><span class=""invisible"">chefin-koalitionaere-muessen-verhaeltnis-zur-afd-klaeren?utm_source=flipboard&amp;utm_medium=activitypub </span></a></p><p>Gepostet in TH - Nachrichten aus Thüringen <span class=""h-card"" translate=""no""><a href=""https://flipboard.com/@zeitonline/th-nachrichten-aus-th%C3%BCringen-asqd6vqcz"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>th-nachrichten-aus-th-ringen-ZEITONLINE</span></a></span></p>"
Gleisplan@mastodon.social,"<p><span class=""h-card"" translate=""no""><a href=""https://social.tchncs.de/@Gehtso"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>Gehtso</span></a></span> </p><p>und trotzdem meinen viele die Demos hätten nichts gebracht. Aber es schmälert die Beliebtheit der AfD und das ist echt schon etwas was sich lohnt.</p>"
PaulaToThePeople@climatejustice.social,"<p>Irgendwie genial von der <a href=""https://climatejustice.social/tags/AFDP"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>AFDP</span></a>:<br>Als FDP mit den linken mitregieren, dabei total scheiße bauen und zusammen abstürzen, um die CDU und AFD zu stärken.</p><p><a href=""https://climatejustice.social/tags/FDP"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>FDP</span></a> <a href=""https://climatejustice.social/tags/AFD"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>AFD</span></a> <a href=""https://climatejustice.social/tags/Ampel"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Ampel</span></a> <a href=""https://climatejustice.social/tags/AmpelAus"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>AmpelAus</span></a></p>"
Gehtso@social.tchncs.de,"<p>Umfragen Absturz afd 2<br>Der Absturz der AfD 2024, den niemand mitbekommen hat</p><p>""Wir kamen auf 1331 Demonstrationen mit 4.128.000 Teilnehmenden.""</p><p>und die Reaktion der Politiker bisher ist immer noch fast bei Null.</p><p>Vielen dank an die Menschen beim volksverpetzer.de für diesen Informativen Artikel.</p><p><a href=""https://www.volksverpetzer.de/aktuelles/absturz-afd-2024-2/"" rel=""nofollow noopener noreferrer"" translate=""no"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">volksverpetzer.de/aktuelles/ab</span><span class=""invisible"">sturz-afd-2024-2/</span></a></p><p><a href=""https://social.tchncs.de/tags/volksverpetzer"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>volksverpetzer</span></a>.de <a href=""https://social.tchncs.de/tags/Nazis"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Nazis</span></a> <a href=""https://social.tchncs.de/tags/Rechts"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Rechts</span></a> <a href=""https://social.tchncs.de/tags/Deutschland"" class=""mention hashtag"" rel=""nofollow noopener noreferrer"" target=""_blank"">#<span>Deutschland</span></a></p>"
OhWeh@climatejustice.social,"<p><span class=""h-card"" translate=""no""><a href=""https://newsie.social/@LeilahLilienruh"" class=""u-url mention"" rel=""nofollow noopener noreferrer"" target=""_blank"">@<span>LeilahLilienruh</span></a></span> </p><p>Es ist seit spätestens Rösler so, dass diese Partei keine Politik für das Wohl Deutschlands macht, sondern nur daran interessiert ist, möglichst viel Geld in die eigenen Taschen zu schaufeln. </p><p>Lindner hat das optimiert aber neu ist da nichts.</p><p>Das die Wähler das nciht erkennen, geschenkt, die erkennen auch nicht, dass die AfD eine Reichenpartei ist.</p>"
