Farbe,Dokumentgruppe,Dokumentname,Code,Anfang,Ende,Gewicht,Segment,Bearbeitet von,Bearbeitet am,Erstellt von,Erstellt am,Fläche,Abdeckungsgrad %,Weitere am Segment vergebene Codes,Dokumentname,Erstellt am,Codierte Segmente,Wörter,Zeichen
●,,psych_spoerri,psych_spoerri > Subakutes Delir,2,2,0,"Gott, wie ist das möglich? (Was war, was ist das?) Wasser (Wasser?) Das brennt, nicht? (Was ist das?) Oh Schnaps, was? (Was ist das?) Schnaps. (Schnaps, was?) Oppenheimer Krötenwein. Was sind das für Tiere? So Tapetenmilben oder nicht? Da oben... Ich würde sagen wieder ist das ein Fußballspieler? (Da sehen Sie, wie die Menschen zusammenströmen?) Ja. (Hören Sie sie, Marschmusik?) Nein. Sie trinkt... einen Schoppen... die knudeln... er beißt in ihre Nasen. Und da wird gerechnet... sie reitet auf einem Schwein... schon vorbei... Sie hat etwas im Mund, Geldscheine. Fährt ne Kuh. Oho. Esel. Die singen, die Jungens, und ein Baby ist da. Da und da, was ist denn das da? Will man es fassen, ist es weg... ist auf dem Tisch, und da, sie trinkt aus dem Humpen und Trauben dran, und der da unten singt, hat einen Schnurrbart, muß sich rasieren, und der Alte trinkt auch. Und da, was ist das ist... (Was ist das?) Ah, ein Fuß. Der hat mich gestoßen, immerzu, nun hab ich es gesehen. (Was ist?) Die Bürste wollte ich festhalten (Was?) Die Bürste wollt’ ich festhalten, den oder Besen. Fliegen, nicht... (Was machen Sie?) Ich zieh den Sohn aus und bring ihn zu Bett. (Was machen Sie?) Ich suche ihn. (Was machen Sie?) Weg ist er.",guhl,20.05.25 15:04,guhl,20.05.25 15:04:02,1223,5.61,"Pronomen > Pron_1SG (Gewicht: 0)
Pronomen > Pron_3SG-PL (Gewicht: 0)",psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,2,2,0,Ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Subakutes Delir (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_3SG-PL,2,2,0,sie,guhl,20.05.25 15:17,guhl,20.05.25 15:17:38,3,0.01,psych_spoerri > Subakutes Delir (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_3SG-PL,2,2,0,er,guhl,20.05.25 15:17,guhl,20.05.25 15:17:38,2,0.01,psych_spoerri > Subakutes Delir (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_3SG-PL,2,2,0,ihre,guhl,20.05.25 15:17,guhl,20.05.25 15:17:38,4,0.02,psych_spoerri > Subakutes Delir (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_3SG-PL,2,2,0,sie,guhl,20.05.25 15:17,guhl,20.05.25 15:17:38,3,0.01,psych_spoerri > Subakutes Delir (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_3SG-PL,2,2,0,sie,guhl,20.05.25 15:17,guhl,20.05.25 15:17:38,3,0.01,psych_spoerri > Subakutes Delir (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,2,2,0,mich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,4,0.02,psych_spoerri > Subakutes Delir (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,2,2,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Subakutes Delir (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,2,2,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Subakutes Delir (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
●,,psych_spoerri,schema_class > Ausdrucksformen > Pronomen > Pron_1SG,2,2,0,ich,guhl,20.05.25 15:18,guhl,20.05.25 15:18:06,3,0.01,psych_spoerri > Subakutes Delir (Gewicht: 0),psych_spoerri,20.05.2025 15:04,256,3618,21800
