Farbe,Dokumentgruppe,Dokumentname,Code,Anfang,Ende,Gewicht,Segment,Weitere am Segment vergebene Codes
●,,psych_schilder1918,LXmarker > 1st-PPrSg,3,3,1,bin ich noch,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,5,5,1,"turne ich, dann",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,5,5,1,gehe ich zwei,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,6,6,1,bewege ich mich im,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,6,7,1,"befinde ich
mich geistig",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,7,8,1,"habe
ich nicht",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,8,8,1,an mir beobachtet,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,8,8,1,kann ich mich noch,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,9,9,1,bei mir immer,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,11,11,1,es mir sogar,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,11,11,1,hätte ich alles,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,11,12,1,"Sie
mich in",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,12,12,1,werde ich selbstverständlich,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,12,12,1,in mir zu,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,12,12,1,Sie mich behandelt,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,12,13,1,"werde ich
natürlich",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,16,16,1,ging ich ins,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,17,17,1,wenn ich meine Gedanken,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,18,18,1,zergliedere. Ich habe,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,18,18,1,da ich meinen Körper,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,18,19,1,"und meinen
Geist",
●,,psych_schilder1918,LXmarker > x-PPr,20,20,2,"Stoffe, die er den Kranken",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,21,21,1,müßte. Meine Kameraden,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,23,23,1,auseinander. Ich habe,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,23,24,1,"weil ich
kein",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,24,24,1,wollte. Ich habe,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,25,26,1,"war ich
höchst",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,26,26,1,über mich selbst,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,26,26,1,überhaupt. Ich wollte,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,27,27,1,welches meinen Körper,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,27,27,1,sondern meinen Geist,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,27,27,1,habe ich meinen Körper,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,27,27,1,gemacht. Ich habe,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,28,28,1,die ich nur,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,28,28,1,habe. Ich habe,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,29,29,1,weil ich befördert,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,29,29,1,weil ich sehen,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,31,31,1,kann. Ich hatte,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,32,32,1,konnte ich den,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,33,33,1,sagte ich mir mit,
●,,psych_schilder1918,LXmarker > x-PPr,33,33,2,einzelne Mensch seine Fähigkeiten immer,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,33,33,1,müsse. Ich habe,
●,,psych_schilder1918,LXmarker > x-PPr,36,36,2,"Existenz, wie sie die Juden ihrem Gott Jahve",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,36,36,1,eben: Ich bin,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,36,36,1,wer ich bin,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,40,40,1,kann ich z,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,40,40,1,wenn mich jemand,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,40,41,1,"schlägt?
Ich kann",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,41,41,1,andere mich hat,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,41,42,1,"Wenn
ich aber",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,43,43,1,kann ich doch,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,43,43,1,daß ich einen,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,44,44,1,h. meine Nerven,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,44,44,1,von meinem Willen,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,44,45,1,"daß mein
Körper",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,46,46,1,habe ich mir nach,
●,,psych_schilder1918,LXmarker > x-PPr,52,52,2,"können, was er will, das",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,57,58,1,"sagte ich
mir, wenn",
●,,psych_schilder1918,LXmarker > x-PPr,58,58,2,so kann sie nur mit,
●,,psych_schilder1918,LXmarker > x-PPr,62,63,2,"würde in
seinem ganzen Leben",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,63,63,1,kommen. Meine Theorie,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,71,71,1,fühle ich den,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,71,71,1,den ich zu,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,71,71,1,aber ich sehe,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,72,72,1,habe ich absolut,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,72,72,1,"Lust, mich von",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,73,73,1,habe ich alle,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,74,74,1,für mich behalten,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,74,74,1,"Ideen, ich habe",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,74,74,1,vielmehr mein Gehirn,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,75,75,1,vor mir die,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,75,76,1,"habe ich
diese",
●,,psych_schilder1918,LXmarker > 1st-PPrSg,76,76,1,für mich behalten,
●,,psych_schilder1918,LXmarker > 1st-PPrSg,76,76,1,bis ich den,
