"","id","author","t-10","t-9","t-8","t-7","t-6","t-5","t-4","t-3","t-2","t-1","kwic","t+1","t+2","t+3","t+4","t+5","t+6","t+7","t+8","t+9","t+10"
"1",1,"11645e595719953"," a"," lot"," of"," fun"," with"," that"," )"," ,"," learning"," new"," languages"," it"," 's"," just"," a"," few"," words"," ,"," i"," have"," been"
"2",2,"7aec2791654b705",".","This"," includes"," things"," like"," :","*"," Learning"," a"," new"," language",NA,NA," ("," or"," becoming"," bilingual"," /"," multilingual"," )"," *"
"3",3,"695b2c44e71d8df","Orders"," exist"," in"," the"," UK"," ("," I"," assume"," from"," your"," language"," the"," UK"," )"," .","Basically"," he"," 'd"," have"," to"," take"
"4",4,"07098df1018a1f1","Yep"," !","I"," m"," currently"," trying"," to"," create"," my"," own"," language",NA,NA," ,"," with"," its"," own"," unique"," grammatical"," structure"," ,"
"5",5,"dd052e699102970",NA,NA,"YouTube"," videos"," about"," them"," .","I"," love"," different"," languages"," could"," learn"," all"," of"," them"," .","I"," 'm"," trying"," to"
"6",6,"9ed84e1137fdfef",NA,NA,NA,NA,NA,NA,NA,NA,"<s>","</doc></s><s><doc>"," language",NA," but"," also"," sometimes"," a"," language"," I"," m"," trying"," to"
"7",7,"9ed84e1137fdfef",NA,NA,NA,"and"," heritage"," language"," but"," also"," sometimes"," a"," language"," to"," learn"," ("," twice"," )","Once"," I"," was"," hearing"," my"
"8",8,"9ed84e1137fdfef",NA,NA,"thinking"," &"," I"," started"," thinking"," in"," my"," second"," language",NA," and"," it"," stopped"," for"," a"," couple"," days"," then"," switched"
"9",9,"9ed84e1137fdfef",NA,"and"," it"," stopped"," for"," a"," couple"," days"," then"," switched"," languages",NA,NA,NA,NA," and"," eventually"," became"," totally"," independent"," of"
"10",10,"ffaa060eb16240f",NA,"of"," my"," internal"," monologue"," .","Even"," tho"," my"," mother"," language"," my"," voices"," are"," in"," English"," ,"," as"," that"," is"," my"
"11",11,"ffaa060eb16240f"," in"," English"," ,"," as"," that"," is"," my"," main"," and"," preferred"," language",NA," .","I"," literally"," think"," in"," English"," too"," lol"," ."
"12",12,"b379eef74dade5e",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<s><doc>"," language",NA," .","It"," freaks"," me"," out"," when"," they"," suddenly"," start"
"13",13,"b6c43e2b3bb8c60",NA,"saying"," that"," she"," usually"," dreams"," in"," French"," ("," the"," language"," that"," she"," uses"," the"," most"," )"," but"," dreams"," in"," Portuguese"
"14",14,"b6c43e2b3bb8c60","the"," most"," )"," but"," dreams"," in"," Portuguese"," ("," her"," first"," language"," something"," is"," wrong"," .","I"," m"," not"," trying"," to"," be"
"15",15,"0f4e5974c00b243","are"," typically"," in"," English"," ["," my"," first"," and"," most"," used"," language"," ]"," ,"," but"," occasionally"," I"," 'll"," hear"," voices"," in"," tagalog"
"16",16,"e9988871c11dab3","old"," and"," I"," consider"," English"," to"," be"," my"," most"," fluent"," language"," .","Most"," of"," my"," voices"," speak"," English"," ,"," except"," the"
"17",17,"e9988871c11dab3","the"," voices"," of"," my"," parents"," ,"," who"," speak"," my"," native"," language",NA," .","Which"," languages"," do"," your"," voices"," speak"," ?","Be"
"18",18,"e9988871c11dab3","my"," parents"," ,"," who"," speak"," my"," native"," language"," .","Which"," languages"," do"," your"," voices"," speak"," ?","Be"," careful"," with"," caffeine"," ,"
"19",19,"857e4fa690cf71e"," me"," ,"," like"," what"," tone"," of"," voice"," and"," type"," of"," language"," would"," use"," .","Anyway"," last"," night"," as"," I"," m"," falling"
"20",20,"bfefd1fd1fed178",NA,"speaking"," to"," strangers"," on"," the"," phone"," in"," a"," foreign"," language",NA," all"," the"," time"," but"," main"," concern"," is"," could"," welding"
"21",21,"e2bcbf4536511ee","did"," not"," like"," my"," new"," doctor"," an"," English"," as"," second"," language",NA," person"," and"," I"," switched"," from"," that"," doctor"," after"," a"
"22",22,"504277a0bb3c48d",NA,NA,NA,NA,NA,NA,NA,NA,"<s>","</doc></s><s><doc>"," language"," they"," are"," ?","English","Sometimes"," I"," do"," ,"," but"," very"
"23",23,"f6203898e8729cd",NA,NA,NA,NA,"worthless"," because"," we"," are"," speaking"," different"," languages",NA," .","Or"," the"," same"," language"," but"," from"," perspectives"," so"
"24",24,"f6203898e8729cd",NA,NA,"are"," speaking"," different"," languages"," .","Or"," the"," same"," language",NA,NA,NA," but"," from"," perspectives"," so"," different"," the"," words"
"25",25,"222321d4c604e2b",".","i"," do"," a"," lot"," of"," research"," to"," find"," specific"," language",NA,NA,NA,NA," and"," symptoms"," to"," communicate"," better"," with"
"26",26,"594ca1460062694"," PANSS"," or"," SANSS"," ?","No"," but"," just"," ask"," deep"," seek"," language",NA," model"," about"," Latuda"," and"," you"," ll"," see"," that"," it"
"27",27,"4821995fc50cc3d"," turned"," out"," to"," be"," real"," ,"," or"," spoken"," in"," foreign"," languages"," know"," ("," which"," I"," was"," unable"," to"," confirm"," 100"," %"
